Method,MSE_Average
EDMD,2.87869563e-03
SINDy,1.12665989e-02
HANDI,4.77456274e-05
PSE,2.50257982e+00
gEDMD,4.86603678e-01
wSINDy,6.79341947e-06
SR3,3.73538440e-01
