Method,r2_Average
EDMD,9.99540051e-01
SINDy,9.98199858e-01
HANDI,9.99992371e-01
PSE,6.00145695e-01
gEDMD,9.22252000e-01
wSINDy,9.99998915e-01
SR3,9.40317207e-01
