SINDy,HANDI,PSE,gEDMD,SR3
1.54909499e-01,2.15833935e-07,1.43133115e-01,1.70033292e-01,1.55601355e-01
1.53647378e-01,3.24688509e-07,1.41762073e-01,1.62736793e-01,1.54394882e-01
1.53503104e-01,4.88675763e-07,1.41766219e-01,1.60994990e-01,1.54319926e-01
1.54286991e-01,7.80593391e-07,1.43181564e-01,8.38879097e-01,1.55205574e-01
1.56359086e-01,1.46541729e-06,1.45788722e-01,8.51327135e-01,1.57398929e-01
1.59309728e-01,2.94738603e-06,1.49300473e-01,1.96171027e-01,1.60435590e-01
1.62382922e-01,5.66076631e-06,1.53350724e-01,2.08009679e-01,1.63325483e-01
1.59772302e-01,2.35841638e-06,1.46307122e-01,1.84909093e-01,1.60173344e-01
1.56404868e-01,9.86295921e-07,1.42692973e-01,1.87474099e-01,1.56855758e-01
1.52584020e-01,2.88543889e-07,1.37987076e-01,1.71132510e-01,1.53105363e-01
1.48709098e-01,1.17564447e-07,1.33324979e-01,1.59446959e-01,1.49295483e-01
1.46477403e-01,8.69427896e-08,1.30337769e-01,1.54644414e-01,1.47133307e-01
1.46487511e-01,8.38795091e-08,1.30468877e-01,1.54802629e-01,1.47245965e-01
1.48282029e-01,1.24025382e-07,1.33754781e-01,1.57680817e-01,1.49165399e-01
1.51788469e-01,2.91086496e-07,1.38851846e-01,8.43312602e-01,1.52778946e-01
1.55973595e-01,7.67543775e-07,1.44551953e-01,2.00301061e-01,1.57004590e-01
1.59658868e-01,1.80350196e-06,1.50198639e-01,2.10384112e-01,1.60506980e-01
1.57129508e-01,8.95738336e-07,1.42460190e-01,1.91504160e-01,1.57478679e-01
1.52592314e-01,4.06462133e-07,1.37026707e-01,1.69059970e-01,1.52937936e-01
1.46453772e-01,1.50882111e-07,1.28476769e-01,1.57326459e-01,1.46832902e-01
1.38420585e-01,7.55560262e-08,1.18053921e-01,1.47846226e-01,1.38824325e-01
1.31664417e-01,5.19563889e-08,1.09871599e-01,1.40224473e-01,1.32105209e-01
1.31793276e-01,4.25188855e-08,1.09952444e-01,1.40808118e-01,1.32414955e-01
1.38171743e-01,4.04453511e-08,1.18630918e-01,1.46584895e-01,1.39026438e-01
1.45741067e-01,5.99264800e-08,1.29469153e-01,1.51781087e-01,1.46706295e-01
1.52271539e-01,1.67591585e-07,1.38809197e-01,1.57858905e-01,1.53233632e-01
1.57002429e-01,5.02144292e-07,1.46359866e-01,1.61475908e-01,1.57721033e-01
1.55002719e-01,3.80621438e-07,1.39617923e-01,1.64420637e-01,1.55226503e-01
1.49105895e-01,1.93489037e-07,1.31803720e-01,1.58502789e-01,1.49254397e-01
1.39011016e-01,8.62771783e-08,1.17455326e-01,1.48446103e-01,1.39088694e-01
1.20389180e-01,4.52171184e-08,9.50354769e-02,1.28901471e-01,1.20253269e-01
9.48750259e-02,2.69333548e-08,7.21729206e-02,9.86606140e-02,9.45715174e-02
9.43318357e-02,2.42477380e-08,7.22722064e-02,9.90956760e-02,9.45052454e-02
1.19875365e-01,3.20874416e-08,9.61510835e-02,1.28694298e-01,1.20654460e-01
1.37970827e-01,4.09182632e-08,1.18566260e-01,1.44541313e-01,1.38890295e-01
1.48394487e-01,6.65087796e-08,1.32981059e-01,1.50173115e-01,1.49258515e-01
1.54420215e-01,1.74158951e-07,1.42352998e-01,1.51687853e-01,1.54997858e-01
1.54012819e-01,1.80297312e-07,1.38390912e-01,1.63226193e-01,1.54048717e-01
1.46980378e-01,1.08241810e-07,1.28563058e-01,1.55291437e-01,1.46832033e-01
1.32142739e-01,5.52423652e-08,1.09149863e-01,1.40150463e-01,1.31741276e-01
9.45118091e-02,2.39520023e-08,7.17525332e-02,9.87866072e-02,9.34522355e-02
2.54336194e-02,5.23897543e-09,2.22270579e-02,2.17452725e-02,2.50252495e-02
2.53188033e-02,4.99068242e-09,2.23400074e-02,2.15728718e-02,2.53918312e-02
9.47781325e-02,2.06143174e-08,7.26880594e-02,1.00859725e-01,9.58654697e-02
1.31179154e-01,3.70434662e-08,1.09805277e-01,1.38666558e-01,1.32059513e-01
1.45805179e-01,5.12083418e-08,1.28978611e-01,1.47591411e-01,1.46502245e-01
1.52860003e-01,9.18885637e-08,1.39362011e-01,1.51009736e-01,1.53268325e-01
1.54306468e-01,9.60881390e-08,1.39362011e-01,1.64376681e-01,1.54147656e-01
1.47115828e-01,6.84548239e-08,1.28978611e-01,1.55328291e-01,1.46699383e-01
1.32039078e-01,4.24473654e-08,1.09805277e-01,1.39488377e-01,1.31391533e-01
9.49808617e-02,2.09657611e-08,7.26880594e-02,9.91457308e-02,9.40015736e-02
2.52889837e-02,4.99287878e-09,2.23400074e-02,2.15475562e-02,2.50767583e-02
2.53829259e-02,5.23559257e-09,2.22270579e-02,2.18054257e-02,2.56818229e-02
9.37973541e-02,2.24323399e-08,7.17525332e-02,1.00769846e-01,9.50004276e-02
1.31000938e-01,3.71474730e-08,1.09149863e-01,1.38410543e-01,1.31637047e-01
1.45630213e-01,4.15404339e-08,1.28563058e-01,1.49853171e-01,1.46039677e-01
1.55846835e-01,1.76518264e-07,1.42352998e-01,1.67336064e-01,1.55531981e-01
1.49631396e-01,8.19581988e-08,1.32981059e-01,1.58469838e-01,1.49057330e-01
1.38724578e-01,4.70775883e-08,1.18566260e-01,1.45957158e-01,1.38048072e-01
1.19881894e-01,3.33520310e-08,9.61510835e-02,1.27374513e-01,1.19305743e-01
9.37953317e-02,2.47981414e-08,7.22722064e-02,9.94031535e-02,9.37903956e-02
9.40740504e-02,2.69441160e-08,7.21729206e-02,9.91283669e-02,9.45448000e-02
1.19214354e-01,3.59393591e-08,9.50354769e-02,1.27215141e-01,1.19598115e-01
1.37718882e-01,3.36741878e-08,1.17455326e-01,1.44713696e-01,1.37886482e-01
1.47802463e-01,2.84392479e-08,1.31803720e-01,1.56390108e-01,1.47887934e-01
1.58342443e-01,6.61418940e-07,1.46359866e-01,1.70740367e-01,1.57903309e-01
1.53409937e-01,2.57723121e-07,1.38809197e-01,1.62533694e-01,1.52749974e-01
1.46475405e-01,1.06933414e-07,1.29469153e-01,1.53409247e-01,1.45768342e-01
1.38272660e-01,6.23950131e-08,1.18630918e-01,1.45370936e-01,1.37634737e-01
1.31229682e-01,5.60387414e-08,1.09952444e-01,1.38301043e-01,1.30817983e-01
1.30768497e-01,5.63842458e-08,1.09871599e-01,1.36865131e-01,1.30536831e-01
1.37369116e-01,4.23810846e-08,1.18053921e-01,1.43794249e-01,1.37187797e-01
1.45286965e-01,2.28225915e-08,1.28476769e-01,1.52166707e-01,1.45114333e-01
1.60992936e-01,2.06940648e-06,1.50198639e-01,1.96696662e-01,1.60436293e-01
1.57071620e-01,9.39754648e-07,1.44551953e-01,1.70212764e-01,1.56361035e-01
1.52555765e-01,4.43989622e-07,1.38851846e-01,1.59651140e-01,1.51847398e-01
1.48575884e-01,2.45507043e-07,1.33754781e-01,1.55314201e-01,1.47913436e-01
1.46264156e-01,1.77047927e-07,1.30468877e-01,1.52601475e-01,1.45678182e-01
1.45927752e-01,1.30626016e-07,1.30337769e-01,1.51779455e-01,1.45423885e-01
1.47955455e-01,5.80255033e-08,1.33324979e-01,1.55236782e-01,1.47516313e-01
1.51621721e-01,5.01722632e-08,1.37987076e-01,1.61148622e-01,1.51238724e-01
1.64279261e-01,5.61508420e-06,1.53350724e-01,1.94574780e-01,1.63781243e-01
1.60506590e-01,3.04371323e-06,1.49300473e-01,1.81307910e-01,1.59709866e-01
1.57195089e-01,1.77319134e-06,1.45788722e-01,1.65914574e-01,1.56469339e-01
1.54745872e-01,1.14872984e-06,1.43181564e-01,1.61229723e-01,1.54079303e-01
1.53588145e-01,8.08514075e-07,1.41766219e-01,1.60357989e-01,1.52950715e-01
1.53443913e-01,5.04046326e-07,1.41762073e-01,1.61095375e-01,1.52831081e-01
1.54443192e-01,1.89911406e-07,1.43133115e-01,1.64943069e-01,1.53869285e-01
1.56640236e-01,2.21614803e-07,1.45485656e-01,1.71995918e-01,1.56139460e-01
