Method,MSE_Average
EDMD,2.60734238e-04
SINDy,1.17968589e+00
HANDI,4.87280841e-06
PSE,1.02181151e+00
gEDMD,1.10437203e+00
wSINDy,2.31054522e-05
SR3,1.17967445e+00
