Method,NPPI_Average
EDMD,0.00000000e+00
SINDy,9.51501317e-03
HANDI,9.93183906e-01
PSE,1.01845505e-01
gEDMD,0.00000000e+00
wSINDy,1.15127693e-01
SR3,1.76254334e-01
