EDMD,SINDy,HANDI,PSE,gEDMD,SR3
0.00040844,1.31901128,0.00387534,0.38206223,inf,1.29224426
0.00001838,1.26437967,0.00400628,0.36991524,1.56795743,1.23791372
0.00022897,1.17788332,0.00392796,0.35320715,1.51920943,1.18884480
0.00024230,1.22668542,0.00359913,0.33587904,1.56411722,1.23440474
0.00014830,1.22932992,0.00309336,0.32606655,1.58070968,1.23705937
0.00006277,1.22933059,0.00266124,0.33222314,1.58070563,1.23705739
0.00005627,1.22668126,0.00255625,0.35542055,1.57764902,1.23439967
0.00010638,1.22257958,0.00277515,0.37492827,inf,1.23028380
0.00014546,1.21831646,0.00311187,0.39019077,inf,1.22600859
0.00014956,1.24502111,0.00338614,0.41564245,inf,1.28490502
