EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
0.00380727,0.00332115,0.00008553,0.01432115,0.01500775,0.00006714,0.00330576
0.00378454,0.00332876,0.00008030,0.01435041,0.01648159,0.00006698,0.00331359
0.00377728,0.00331748,0.00007468,0.01448188,0.01283756,0.00006706,0.00330034
0.00379391,0.00328871,0.00006972,0.01475705,0.00408756,0.00006743,0.00326857
0.00382597,0.00326436,0.00006731,0.01505455,0.00159081,0.00006778,0.00324368
0.00384412,0.00326728,0.00006933,0.01513657,0.00142209,0.00006779,0.00325075
0.00382918,0.00329198,0.00007631,0.01485065,0.00181415,0.00006761,0.00328190
0.00379379,0.00331856,0.00008636,0.01435550,0.00278145,0.00006765,0.00331380
0.00375997,0.00333629,0.00009644,0.01394839,0.00452991,0.00006800,0.00333465
0.00373775,0.00334418,0.00010427,0.01358852,0.00723319,0.00006853,0.00334396
0.00383450,0.00332120,0.00008150,0.01426357,0.01516098,0.00006754,0.00330418
0.00379611,0.00335480,0.00007511,0.01430896,0.01638430,0.00006710,0.00333991
0.00376782,0.00336925,0.00006729,0.01447121,0.00834578,0.00006689,0.00335367
0.00377030,0.00335406,0.00005937,0.01485131,0.00124017,0.00006715,0.00333491
0.00380568,0.00333925,0.00005457,0.01526375,0.00069664,0.00006762,0.00331936
0.00382474,0.00336120,0.00005688,0.01524555,0.00024727,0.00006763,0.00334805
0.00379592,0.00338804,0.00006711,0.01471343,0.00049318,0.00006747,0.00338286
0.00375369,0.00338990,0.00008104,0.01407445,0.00088657,0.00006777,0.00338889
0.00372699,0.00337503,0.00009339,0.01368195,0.00111173,0.00006846,0.00337540
0.00371666,0.00335694,0.00010185,0.01343659,0.00156343,0.00006919,0.00335759
0.00387885,0.00331154,0.00007703,0.01416240,0.01543222,0.00006840,0.00329159
0.00382965,0.00337822,0.00006826,0.01425423,0.01568286,0.00006767,0.00336218
0.00377242,0.00345180,0.00005509,0.01451648,0.00443328,0.00006697,0.00343802
0.00373571,0.00350254,0.00003777,0.01520403,0.00069529,0.00006673,0.00348610
0.00376410,0.00354191,0.00002326,0.01594663,0.00083025,0.00006725,0.00352410
0.00378585,0.00359798,0.00002653,0.01558085,0.00164819,0.00006727,0.00359063
0.00373820,0.00356294,0.00004867,0.01458066,0.00198778,0.00006735,0.00356299
0.00370464,0.00347307,0.00007270,0.01381825,0.00022887,0.00006828,0.00347440
0.00370030,0.00339922,0.00008938,0.01348915,0.00039016,0.00006931,0.00340047
0.00370733,0.00335302,0.00009881,0.01334868,0.00078089,0.00007007,0.00335407
0.00392998,0.00329520,0.00007456,0.01399582,0.01574711,0.00006970,0.00327183
0.00388778,0.00338520,0.00006271,0.01416673,0.01450065,0.00006902,0.00336574
0.00381707,0.00355148,0.00003972,0.01470832,0.00198969,0.00006793,0.00353775
0.00370830,0.00384065,0.00000631,0.01685984,0.00001767,0.00006646,0.00383061
0.00365550,0.00427290,0.00007792,0.02051781,0.00464253,0.00006608,0.00426260
0.00368165,0.00439713,0.00007259,0.01835518,0.01087569,0.00006620,0.00440160
0.00364369,0.00387548,0.00001030,0.01531603,0.00916423,0.00006767,0.00387981
0.00366821,0.00354117,0.00006084,0.01391498,0.00779433,0.00006952,0.00354419
0.00369771,0.00339410,0.00008432,0.01349972,0.00315077,0.00007050,0.00339661
0.00371835,0.00332897,0.00009506,0.01337516,0.00055507,0.00007099,0.00333113
0.00396052,0.00328552,0.00007662,0.01376918,0.01600945,0.00007107,0.00326005
0.00393783,0.00337284,0.00006342,0.01400215,0.01341129,0.00007080,0.00334901
0.00389309,0.00359858,0.00003134,0.01497806,0.00163349,0.00007021,0.00357940
0.00377516,0.00437423,0.00007142,0.02290523,0.00307681,0.00006849,0.00436826
0.00330967,0.00921424,0.00065111,0.10960397,0.17474913,0.00006006,0.00925898
0.00326108,0.00937120,0.00064124,0.07557400,0.18177109,0.00006086,0.00942424
0.00358484,0.00431405,0.00005300,0.02055845,0.01393424,0.00006949,0.00432768
0.00368737,0.00357403,0.00004808,0.01460657,0.00926705,0.00007082,0.00358143
0.00372756,0.00337237,0.00007888,0.01373580,0.00823212,0.00007118,0.00337778
0.00374754,0.00329844,0.00009110,0.01353364,0.00197914,0.00007129,0.00330286
0.00394792,0.00329844,0.00008341,0.01353364,0.01599235,0.00007169,0.00327375
0.00392742,0.00337237,0.00007189,0.01373580,0.01442497,0.00007159,0.00334798
0.00388475,0.00357403,0.00004228,0.01460657,0.00525219,0.00007126,0.00355147
0.00376870,0.00431405,0.00005615,0.02055845,0.00456395,0.00007002,0.00429834
0.00334291,0.00937120,0.00063781,0.07557400,0.17712448,0.00006201,0.00940237
0.00332219,0.00921424,0.00064021,0.10960397,0.18054042,0.00005899,0.00927888
0.00364749,0.00437423,0.00005764,0.02290523,0.01745451,0.00006755,0.00438170
0.00373048,0.00359858,0.00004419,0.01497806,0.01137735,0.00006947,0.00360413
0.00376152,0.00337284,0.00007562,0.01400215,0.00928884,0.00007015,0.00337864
0.00377676,0.00328552,0.00008846,0.01376918,0.00475655,0.00007048,0.00329134
0.00390475,0.00332897,0.00009199,0.01337516,0.01524513,0.00007125,0.00330667
0.00387346,0.00339410,0.00008299,0.01349972,0.01638029,0.00007076,0.00337272
0.00381983,0.00354117,0.00006204,0.01391498,0.01441303,0.00006979,0.00352212
0.00374391,0.00387548,0.00001468,0.01531603,0.01155892,0.00006797,0.00386113
0.00372594,0.00439713,0.00006701,0.01835518,0.01745421,0.00006630,0.00439292
0.00372137,0.00427290,0.00007087,0.02051781,0.01741866,0.00006528,0.00428632
0.00371230,0.00384065,0.00000608,0.01685984,0.01530746,0.00006534,0.00384082
0.00374838,0.00355148,0.00005402,0.01470832,0.01306634,0.00006692,0.00354966
0.00377521,0.00338520,0.00007713,0.01416673,0.00940750,0.00006814,0.00338690
0.00379134,0.00329520,0.00008868,0.01399582,0.00593467,0.00006891,0.00329960
0.00386401,0.00335302,0.00009949,0.01334868,0.01527482,0.00007024,0.00333241
0.00383572,0.00339922,0.00009189,0.01348915,0.01485861,0.00006947,0.00337965
0.00380650,0.00347307,0.00007720,0.01381825,0.01521189,0.00006843,0.00345529
0.00379977,0.00356294,0.00005449,0.01458066,0.01566501,0.00006745,0.00354882
0.00383093,0.00359798,0.00003223,0.01558085,0.01552201,0.00006713,0.00359361
0.00382672,0.00354191,0.00002968,0.01594663,0.01461669,0.00006661,0.00354804
0.00378443,0.00350254,0.00004743,0.01520403,0.01544723,0.00006575,0.00350332
0.00377306,0.00345180,0.00006763,0.01451648,0.01283761,0.00006590,0.00344760
0.00378262,0.00337822,0.00008223,0.01425423,0.00947801,0.00006666,0.00337575
0.00379541,0.00331154,0.00009148,0.01416240,0.00607198,0.00006747,0.00331264
0.00384323,0.00335694,0.00010494,0.01343659,0.01497941,0.00006929,0.00333715
0.00382949,0.00337503,0.00009789,0.01368195,0.01558554,0.00006855,0.00335648
0.00382752,0.00338990,0.00008666,0.01407445,0.01563734,0.00006782,0.00337386
0.00384651,0.00338804,0.00007311,0.01471343,0.01548890,0.00006743,0.00337734
0.00387197,0.00336120,0.00006266,0.01524555,0.01535992,0.00006738,0.00335933
0.00386539,0.00333925,0.00006083,0.01526375,0.01552032,0.00006705,0.00334349
0.00382950,0.00335406,0.00006762,0.01485131,0.01513462,0.00006629,0.00335538
0.00380242,0.00336925,0.00007800,0.01447121,0.01141699,0.00006589,0.00336561
0.00379509,0.00335480,0.00008770,0.01430896,0.00950426,0.00006606,0.00335038
0.00379899,0.00332120,0.00009518,0.01426357,0.00541634,0.00006653,0.00331908
0.00384063,0.00334418,0.00010875,0.01358852,0.01068296,0.00006858,0.00332535
0.00384124,0.00333629,0.00010184,0.01394839,0.01151348,0.00006801,0.00331962
0.00385433,0.00331856,0.00009233,0.01435550,0.01229877,0.00006761,0.00330582
0.00387724,0.00329198,0.00008232,0.01485065,0.01303564,0.00006747,0.00328532
0.00389317,0.00326728,0.00007517,0.01513657,0.01367607,0.00006747,0.00326734
0.00388405,0.00326436,0.00007352,0.01505455,0.01377840,0.00006723,0.00326779
0.00385467,0.00328871,0.00007727,0.01475705,0.01241420,0.00006666,0.00329011
0.00382602,0.00331748,0.00008413,0.01448188,0.00991527,0.00006612,0.00331492
0.00381002,0.00332876,0.00009156,0.01435041,0.00925560,0.00006597,0.00332420
0.00380560,0.00332115,0.00009814,0.01432115,0.00396674,0.00006612,0.00331709
