EDMD,SINDy,HANDI,PSE,gEDMD,SR3
3.00021781,1.30839197,2.99899641,1.01470458,inf,1.31261258
3.00021865,1.31523139,2.99899004,1.01471814,inf,1.32245651
3.00022045,1.32573914,2.99898479,1.01472983,inf,1.33589779
3.00022271,1.33795247,2.99898344,1.01474022,1.32592329,1.35037798
3.00022380,1.34369777,2.99899055,1.01468235,1.33042104,1.35663131
3.00022249,1.33443765,2.99900924,1.01426912,1.32504000,1.34613101
3.00022012,1.31408375,2.99903614,1.01332482,1.32754129,1.32457607
3.00021864,1.30060101,2.99906327,1.01227308,inf,1.31172714
3.00021834,1.29723294,2.99908511,1.01154681,inf,1.30960088
3.00021867,1.29938317,2.99910071,1.01120103,inf,1.31285956
3.00021776,1.30479835,2.99900915,1.01455313,inf,1.30586713
3.00021773,1.30746961,2.99900028,1.01457922,inf,1.31160465
3.00021897,1.31544796,2.99899117,1.01460493,inf,1.32323798
3.00022162,1.32948272,2.99898549,1.01462065,1.33028844,1.34084433
3.00022343,1.34226217,2.99899120,1.01462895,1.32898343,1.35529656
3.00022188,1.33787355,2.99901570,1.01435780,1.32513757,1.34980716
3.00021922,1.31209616,2.99905114,1.01330970,1.32811091,1.32253620
3.00021826,1.29793107,2.99908089,1.01200562,inf,1.30971754
3.00021855,1.29893376,2.99909966,1.01112766,inf,1.31233924
3.00021906,1.30519078,2.99910981,1.01069777,inf,1.31952496
3.00021868,1.30813628,2.99902712,1.01419588,inf,1.30476650
3.00021768,1.30544584,2.99901655,1.01421623,1.32166656,1.30417342
3.00021740,1.30520132,2.99900406,1.01427804,1.32540939,1.30762626
3.00021939,1.31347166,2.99899238,1.01434502,1.33017528,1.32144817
3.00022248,1.33310490,2.99899452,1.01437111,1.32985247,1.34562432
3.00022048,1.34131871,2.99902964,1.01428862,1.32507913,1.35361128
3.00021785,1.30771688,2.99907636,1.01311762,1.32871380,1.31817218
3.00021816,1.29763390,2.99910353,1.01152817,1.32802785,1.31060161
3.00021903,1.30571135,2.99911394,1.01063502,inf,1.32021556
3.00021957,1.31525620,2.99911689,1.01032122,inf,1.33008524
3.00022081,1.32354846,2.99905078,1.01342133,1.32078970,1.31678619
3.00021957,1.32181144,2.99904181,1.01329149,1.32085929,1.31522617
