EDMD,SINDy,HANDI,PSE,gEDMD,SR3
0.00078863,1.31661311,0.00004823,0.36281350,inf,1.37682522
0.00072899,1.32050928,0.00013885,0.36228483,inf,1.38082396
0.00068072,1.32498121,0.00047067,0.36171442,inf,1.38525360
0.00065371,1.32271541,0.00083949,0.36121969,1.59375624,1.37185946
0.00064939,1.30148806,0.00115640,0.36112871,1.59683867,1.34751660
0.00064530,1.32695449,0.00137988,0.36176010,1.57594124,1.34752761
0.00063244,1.32422647,0.00148988,0.36285947,1.57289480,1.34474376
0.00064109,1.31994164,0.00148697,0.36393815,inf,1.34042294
0.00069561,1.31548795,0.00140457,0.36482810,inf,1.33593511
0.00078829,1.31161062,0.00128157,0.36550435,inf,1.33199673
0.00076872,1.32051851,0.00045596,0.36244063,inf,1.38081924
0.00075085,1.32694664,0.00054323,0.36145092,inf,1.38742707
0.00074020,1.33540083,0.00076030,0.36019771,inf,1.39609412
0.00072701,1.34486429,0.00099424,0.35878144,1.61112562,1.40333765
0.00070952,1.33066913,0.00117956,0.35779112,1.61884092,1.37238219
0.00068868,1.34512550,0.00132079,0.35832953,1.59784486,1.36749535
0.00067648,1.33981276,0.00139587,0.36031784,1.59012383,1.36045679
0.00069510,1.33035090,0.00137766,0.36244597,inf,1.35091336
0.00074415,1.32192168,0.00129202,0.36413260,inf,1.34239297
0.00080698,1.31550282,0.00117525,0.36538178,inf,1.33592178
0.00073851,1.32498059,0.00081552,0.36216862,inf,1.38539782
0.00075173,1.33538537,0.00081020,0.36049575,1.60056900,1.39608946
0.00077858,1.35186931,0.00088328,0.35795567,1.61891825,1.41299340
0.00079343,1.37556771,0.00094251,0.35432629,1.64531626,1.43729377
0.00077491,1.39725313,0.00099779,0.35062147,1.67042837,1.45233338
0.00074600,1.38521919,0.00114239,0.35066187,1.64896499,1.41405642
0.00073804,1.37043545,0.00127019,0.35533356,1.62403944,1.39135269
0.00074729,1.34678320,0.00127023,0.35996070,1.59786186,1.36749876
0.00076238,1.33034211,0.00117874,0.36298982,inf,1.35091672
0.00077903,1.31995054,0.00105113,0.36488125,inf,1.34042540
0.00070385,1.32925893,0.00102513,0.36209842,1.59374435,1.38980240
0.00073847,1.34488042,0.00096920,0.35956016,1.61112120,1.40580034
0.00079033,1.37556418,0.00091550,0.35475983,1.64531437,1.43729323
0.00083340,1.44018177,0.00076175,0.34503333,1.71727347,1.50359699
0.00080954,1.54626075,0.00061314,0.32930132,1.83540672,1.61243884
0.00078071,1.52558132,0.00087297,0.32771651,1.81259934,1.56319009
0.00078482,1.43491640,0.00113418,0.34518456,1.69540941,1.45640199
0.00075899,1.37043782,0.00116787,0.35628553,1.62403677,1.39134681
0.00072956,1.33980771,0.00106483,0.36143797,1.59011812,1.35951443
0.00070966,1.32422796,0.00091657,0.36404816,1.57289157,1.33530281
0.00066605,1.33203296,0.00113422,0.36237662,1.59683192,1.39263984
0.00071888,1.35186870,0.00108388,0.35915820,1.61891577,1.41299249
0.00077977,1.39811832,0.00098746,0.35189689,1.67044160,1.46044899
0.00080905,1.54627408,0.00068190,0.32995005,1.83540865,1.61242771
0.00057306,2.35315516,0.00006189,0.23570574,2.73219399,2.44015584
0.00054929,2.34516177,0.00048759,0.23165528,2.70218075,2.37530435
0.00075421,1.54078409,0.00090071,0.32999103,1.81257744,1.56319142
0.00071991,1.39295468,0.00102565,0.35257820,1.64895747,1.40738169
0.00067027,1.34679089,0.00093399,0.35989127,1.61618626,1.38700427
0.00063689,1.33026292,0.00077771,0.36309306,1.60622494,1.38686889
0.00064910,1.33201937,0.00122558,0.36309306,1.61742065,1.39263965
0.00071403,1.35186473,0.00120726,0.35989127,1.64795695,1.41299151
0.00077533,1.39813012,0.00114795,0.35257820,1.71016721,1.46143121
0.00078910,1.55137294,0.00093132,0.32999103,1.87794219,1.61793553
0.00051961,2.35987882,0.00048970,0.23165528,2.78766053,2.44736817
0.00050457,2.35998977,0.00006055,0.23570574,2.78785029,2.44757843
0.00073510,1.55122308,0.00065077,0.32995005,1.86455283,1.61631709
0.00069802,1.40293225,0.00085316,0.35189689,1.70811347,1.46552855
0.00064092,1.35656510,0.00077532,0.35915820,1.65822424,1.41806109
0.00060065,1.33669746,0.00062246,0.36237662,1.63581053,1.39766823
0.00070628,1.32924960,0.00135867,0.36404816,1.63267986,1.38980044
0.00076332,1.34865943,0.00135923,0.36143797,1.65033229,1.41058634
