EDMD,SINDy,HANDI,PSE,gEDMD,SR3
3.00021278,0.89682676,2.99987351,0.99947375,0.92485864,0.88846858
3.00020888,0.89764926,2.99986658,0.99966962,0.92499424,0.88779154
3.00020592,0.90290237,2.99985960,1.00021729,0.92434640,0.89094694
3.00020617,0.91487537,2.99985637,1.00109453,0.92426121,0.90021791
3.00021088,0.93311037,2.99986202,1.00207382,0.91891413,0.91625642
3.00021719,0.94442374,2.99987769,1.00275404,0.91885331,0.92977828
3.00022014,0.92313560,2.99989690,1.00281171,0.91565593,0.91459806
3.00021837,0.90153872,2.99991176,1.00238669,0.91366825,0.89576104
3.00021456,0.89424244,2.99992021,1.00192504,0.91899609,0.88940146
3.00021097,0.89221333,2.99992391,1.00165861,0.91899910,0.88766952
3.00021678,0.89942298,2.99988121,0.99950512,0.92292252,0.89204231
3.00021251,0.89686051,2.99987431,0.99949182,0.92455244,0.88849106
3.00020769,0.89826437,2.99986561,0.99980920,0.92507765,0.88805689
3.00020553,0.90735918,2.99985885,1.00066702,0.91931176,0.89431822
3.00020998,0.92625984,2.99986312,1.00192982,0.91907539,0.91010096
3.00021778,0.94458043,2.99988297,1.00280261,0.91773179,0.92934660
3.00021959,0.91948872,2.99990607,1.00261103,0.91380172,0.91131028
3.00021541,0.89669254,2.99992001,1.00198496,0.91472939,0.89137731
3.00021045,0.89219008,2.99992518,1.00160062,0.92329887,0.88765351
3.00020716,0.89299885,2.99992592,1.00145828,0.91346663,0.88879360
3.00022094,0.90822941,2.99989039,0.99982523,0.92183946,0.90178610
3.00021780,0.90266577,2.99988516,0.99958677,0.92102498,0.89585302
3.00021215,0.89743577,2.99987670,0.99948762,0.92013862,0.88953974
3.00020614,0.89876192,2.99986601,1.00003072,0.91885004,0.88836571
3.00020853,0.91423165,2.99986643,1.00163029,0.91913919,0.90006572
3.00021815,0.94401151,2.99989329,1.00281124,0.91732176,0.92828678
3.00021679,0.91108790,2.99991969,1.00218135,0.91225577,0.90382506
3.00020998,0.89256852,2.99992805,1.00157011,0.91123675,0.88785684
3.00020568,0.89356121,2.99992757,1.00141265,0.91396827,0.88951786
3.00020392,0.89756615,2.99992517,1.00140555,0.91316380,0.89413127
3.00022307,0.92990854,2.99989954,1.00058243,0.92373242,0.92423287
3.00022242,0.92666820,2.99989760,1.00031629,0.92305326,0.92116924
3.00021932,0.91786204,2.99989368,0.99986599,0.92244793,0.91270665
3.00021151,0.90214070,2.99988518,0.99949301,0.92122946,0.89532436
3.00020614,0.89878248,2.99987875,1.00088400,0.91875740,0.88850372
3.00021728,0.94443774,2.99991875,1.00261889,0.91755392,0.92904604
3.00020900,0.89664453,2.99993694,1.00155732,0.91055573,0.89110719
3.00020381,0.89437105,2.99993108,1.00138941,0.91733008,0.89066429
3.00020319,0.90193829,2.99992497,1.00145451,0.92712322,0.89928804
3.00020373,0.90837345,2.99992099,1.00150931,0.92927693,0.90703017
3.00022029,0.94720810,2.99990740,1.00137741,0.92502769,0.93888035
3.00022080,0.94685742,2.99990864,1.00132476,0.92507894,0.93792686
3.00022093,0.94586252,2.99991159,1.00118120,0.92499731,0.93602184
3.00021957,0.94676164,2.99992030,1.00074699,0.92500557,0.93767562
3.00020809,0.93709945,2.99993844,0.99964081,0.92358324,0.93029217
3.00020298,0.93202825,2.99999086,1.00123555,0.91525354,0.92138611
3.00020244,0.89489852,2.99994270,1.00142360,0.91365481,0.89162510
3.00020537,0.90952870,2.99992452,1.00158127,0.92772965,0.90879555
3.00020698,0.91919467,2.99991774,1.00162212,0.92922161,0.92098713
3.00020782,0.92446458,2.99991453,1.00163303,0.92770406,0.92861159
3.00021317,0.93156836,2.99991453,1.00163303,0.91951313,0.92029723
3.00021193,0.92396818,2.99991774,1.00162212,0.92041089,0.91251220
3.00020959,0.91129966,2.99992452,1.00158127,0.91976669,0.90044125
3.00020478,0.89338555,2.99994270,1.00142360,0.91361783,0.88636302
3.00020065,0.92343151,2.99999086,1.00123555,0.90361282,0.92546077
3.00020442,0.91742382,2.99993844,0.99964081,0.92171169,0.93523966
3.00021354,0.93153797,2.99992030,1.00074699,0.92761073,0.94463907
3.00021423,0.93160826,2.99991159,1.00118120,0.92636921,0.94350132
3.00021399,0.93138037,2.99990864,1.00132476,0.92428170,0.94477145
3.00021352,0.93067053,2.99990740,1.00137741,0.92324133,0.94532453
3.00020653,0.90987599,2.99992099,1.00150931,0.91297804,0.89976857
3.00020476,0.90191172,2.99992497,1.00145451,0.91304951,0.89283138
3.00020336,0.89263689,2.99993108,1.00138941,0.91156803,0.88604316
3.00020537,0.89313311,2.99993694,1.00155732,0.90791373,0.89210310
3.00021161,0.93146357,2.99991875,1.00261889,0.90681842,0.93313814
3.00020268,0.88856271,2.99987875,1.00088400,0.92409259,0.89415040
3.00020716,0.88826971,2.99988518,0.99949301,0.91928955,0.90059104
3.00021347,0.90060133,2.99989368,0.99986599,0.91864727,0.91771570
3.00021579,0.90783581,2.99989760,1.00031629,0.91971150,0.92627754
3.00021612,0.91085613,2.99989954,1.00058243,0.92049475,0.92962714
3.00020382,0.89655136,2.99992517,1.00140555,0.90972212,0.88876050
3.00020392,0.89163814,2.99992757,1.00141265,0.91023639,0.88552805
3.00020614,0.88978203,2.99992805,1.00157011,0.90909746,0.88663823
3.00021094,0.90624203,2.99991969,1.00218135,0.90519134,0.90802334
3.00021240,0.93079003,2.99989329,1.00281124,0.90645314,0.93223888
3.00020478,0.90324253,2.99986643,1.00163029,0.92056279,0.90542343
3.00020273,0.88815972,2.99986601,1.00003072,0.92401809,0.89398379
3.00020771,0.88542573,2.99987670,0.99948762,0.92113695,0.89507404
3.00021220,0.88874605,2.99988516,0.99958677,0.91858213,0.90140872
3.00021463,0.89295678,2.99989039,0.99982523,0.92056364,0.90755462
3.00020446,0.89082887,2.99992592,1.00145828,0.92131171,0.88519478
3.00020632,0.88953150,2.99992518,1.00160062,0.90520632,0.88583631
3.00020984,0.89370044,2.99992001,1.00198496,0.90776033,0.89272353
3.00021323,0.91402325,2.99990607,1.00261103,0.90426411,0.91647069
3.00021219,0.93154192,2.99988297,1.00280261,0.90553501,0.93336673
3.00020602,0.91384237,2.99986312,1.00192982,0.91624385,0.91512118
3.00020228,0.89649249,2.99985885,1.00066702,0.92373074,0.89989180
3.00020401,0.88752192,2.99986561,0.99980920,0.92353503,0.89365739
3.00020788,0.88525430,2.99987431,0.99949182,0.92108324,0.89404388
3.00021114,0.88653933,2.99988121,0.99950512,0.92077611,0.89763054
3.00020638,0.88955351,2.99992391,1.00165861,0.90923458,0.88582941
3.00020904,0.89133232,2.99992021,1.00192504,0.90390584,0.88942671
3.00021202,0.89835105,2.99991176,1.00238669,0.90707268,0.89851163
3.00021371,0.91717769,2.99989690,1.00281171,0.90393142,0.91966230
3.00021169,0.93179788,2.99987769,1.00275404,0.90551277,0.93387651
3.00020667,0.91985310,2.99986202,1.00207382,0.91517728,0.92106386
3.00020279,0.90327212,2.99985637,1.00109453,0.92321922,0.90568409
3.00020260,0.89220509,2.99985960,1.00021729,0.92226979,0.89660802
3.00020494,0.88693910,2.99986658,0.99966962,0.92103963,0.89342846
3.00020780,0.88528715,2.99987351,0.99947375,0.92086768,0.89379075
