Method,NPPI_Average
EDMD,0.00000000e+00
SINDy,1.84303258e-01
HANDI,9.98750020e-01
PSE,2.94363257e-02
gEDMD,0.00000000e+00
wSINDy,0.00000000e+00
SR3,9.09556846e-01
