Method,Traj1_true_V,Traj1_pred_V,Traj1_V_Err(%),Traj2_true_V,Traj2_pred_V,Traj2_V_Err(%),Mean_V_Err%
HANDI,-92.12,-92.08,0.0499,-85.95,-85.88,0.0724,0.0611
SINDy,-91.06,-90.98,N/A,-81.50,-80.08,N/A,N/A
SR3,-88.03,-57.49,N/A,-85.95,-85.62,0.3840,N/A
PSE,-92.12,-89.46,2.8868,-85.95,-91.58,6.5593,4.7230
WSINDy,-92.12,-90.96,1.2616,-85.95,-85.05,1.0453,1.1535
gEDMD,-88.51,-71.67,N/A,-85.89,-96.39,N/A,N/A
EDMD,-92.12,-89.27,3.0953,-85.95,-109.40,27.2856,15.1905
