Method,Traj1_true_V,Traj1_pred_V,Traj1_V_Err(%),Traj2_true_V,Traj2_pred_V,Traj2_V_Err(%),Mean_V_Err%
HANDI,-92.12,-91.89,0.2524,-85.95,-86.02,0.0798,0.1661
SINDy,-91.29,-92.28,N/A,-85.95,-86.14,0.2242,N/A
SR3,-92.12,-91.33,0.8604,-83.62,-81.77,N/A,N/A
PSE,-73.55,-104.09,N/A,-85.95,-86.05,0.1149,N/A
WSINDy,-92.12,-87.51,5.0075,-85.95,-87.45,1.7472,3.3773
gEDMD,-91.29,-97.79,N/A,-75.64,2.45,N/A,N/A
EDMD,-92.12,-82.02,10.9730,-72.71,133.28,N/A,N/A
