EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
inf,0.01146199,0.00140510,0.10919319,0.99999999,inf,0.01117434
inf,0.01202166,0.00136654,0.11818551,0.99999999,inf,0.01175292
inf,0.01290477,0.00131030,0.12751650,0.99999999,inf,0.01268084
inf,0.01372235,0.00124755,0.13262266,0.99999999,inf,0.01359051
inf,0.01337363,0.00120033,0.13030617,0.99999999,inf,0.01337467
inf,0.01187588,0.00117978,0.11955882,0.99999999,inf,0.01196593
inf,0.01121896,0.00117683,0.09738442,0.99999999,inf,0.01129730
inf,0.01190335,0.00117881,0.05803729,0.99999999,inf,0.01192607
inf,0.01298997,0.00117964,0.03262365,0.99999999,inf,0.01297469
inf,0.01376997,0.00117758,0.02627536,0.99999999,inf,0.01374257
inf,0.01095532,0.00141206,0.09643371,0.99999999,inf,0.01064945
inf,0.01156958,0.00137203,0.10950592,0.99999999,inf,0.01127848
inf,0.01263091,0.00130013,0.12351198,0.99999999,inf,0.01238170
0.09127598,0.01379878,0.00120155,0.13225613,0.99999999,inf,0.01364933
0.08935903,0.01350752,0.00111812,0.13066684,0.99999999,0.22191895,0.01351286
inf,0.01177827,0.00108845,0.11807290,0.99999999,0.21819154,0.01187112
inf,0.01156057,0.00109520,0.09221354,0.99999999,inf,0.01161763
inf,0.01276151,0.00110777,0.04905428,0.99999999,inf,0.01275846
inf,0.01394840,0.00111481,0.02765350,0.99999999,inf,0.01391983
inf,0.01461353,0.00111551,0.02291489,0.99999999,inf,0.01458262
inf,0.01044381,0.00140566,0.06896177,0.99999999,inf,0.01013197
inf,0.01089241,0.00136681,0.08637871,0.99999999,inf,0.01058074
0.08601799,0.01198165,0.00127613,0.10986051,0.99999999,0.22647562,0.01169387
0.08563471,0.01377570,0.00110126,0.12938565,0.99999999,0.24284092,0.01358167
0.08410390,0.01399393,0.00090361,0.13183926,0.99999999,0.24972139,0.01399358
0.08434880,0.01195249,0.00085803,0.11493594,0.99999999,0.25020272,0.01204224
0.09075566,0.01260120,0.00092753,0.08045849,0.99999999,0.24113695,0.01262319
inf,0.01429532,0.00098958,0.03137317,0.99999999,0.21383631,0.01426791
inf,0.01528926,0.00102347,0.01758604,0.99999999,inf,0.01525843
inf,0.01567422,0.00103836,0.01489807,0.99999999,inf,0.01565063
inf,0.01056512,0.00136271,0.03062289,0.99999999,inf,0.01028709
0.09105342,0.01054434,0.00132148,0.04229175,0.99999999,0.18754957,0.01024380
0.08527512,0.01109602,0.00120815,0.06644519,0.99999999,0.24001342,0.01078169
0.08288272,0.01326549,0.00087530,0.10701615,0.99999999,0.25411631,0.01299331
0.08045514,0.01574212,0.00015268,0.13516128,0.99999999,0.26765687,0.01570893
0.07971798,0.01346937,0.00006776,0.10699735,0.99999999,0.26634870,0.01354066
0.08494318,0.01532496,0.00056595,0.04865461,0.99999999,0.25632230,0.01530222
0.08984435,0.01640584,0.00081103,0.01146933,0.99999999,0.23843539,0.01638355
inf,0.01649975,0.00091388,0.00981321,0.99999999,inf,0.01649503
inf,0.01641718,0.00095870,0.00958962,0.99999999,inf,0.01642172
inf,0.01199681,0.00126893,0.01571059,0.99999999,inf,0.01181571
0.08591291,0.01168797,0.00120563,0.02021654,0.99999999,0.22206247,0.01147486
0.08570865,0.01148972,0.00103619,0.03133717,0.99999999,0.24491394,0.01123285
0.08549639,0.01255399,0.00039396,0.06241213,0.99999999,0.26848599,0.01224602
0.07728910,0.02472972,0.00435750,0.12961468,0.99999999,0.31966386,0.02451805
0.06996930,0.02621632,0.00460528,0.06365952,0.99999999,0.30819824,0.02620693
0.08231171,0.01835891,0.00004521,0.02023009,0.99999999,0.26745572,0.01840509
0.08819271,0.01643717,0.00063125,0.01480623,0.99999999,0.24524359,0.01651252
0.08859479,0.01591184,0.00082886,0.01182753,0.99999999,0.21832668,0.01598900
0.08968769,0.01574811,0.00090497,0.01056422,0.99999999,inf,0.01582132
0.08669210,0.01404852,0.00115126,0.01056422,0.99999999,inf,0.01399375
0.08621542,0.01415841,0.00105813,0.01182753,0.99999999,0.21890284,0.01409524
0.08890990,0.01463063,0.00083435,0.01480623,0.99999999,0.24518241,0.01456559
0.08652481,0.01655531,0.00009982,0.02023009,0.99999999,0.26730519,0.01652031
0.07492616,0.02465753,0.00451459,0.06365952,0.99999999,0.30814815,0.02472745
0.07103731,0.02855773,0.00478047,0.12961468,0.99999999,0.31977534,0.02876256
0.08287874,0.01479929,0.00007838,0.06241213,0.99999999,0.26862957,0.01512474
0.08614557,0.01344726,0.00062483,0.03133717,0.99999999,0.24490967,0.01371655
0.08908951,0.01354154,0.00082616,0.02021654,0.99999999,0.22169117,0.01376520
inf,0.01376488,0.00090328,0.01571059,0.99999999,inf,0.01395887
0.09100192,0.01465127,0.00105815,0.00958962,0.99999999,inf,0.01467737
inf,0.01473196,0.00096269,0.00981321,0.99999999,inf,0.01476745
0.09024130,0.01465942,0.00078174,0.01146933,0.99999999,0.23843956,0.01471527
0.08821103,0.01394459,0.00043354,0.04865461,0.99999999,0.25620230,0.01400017
0.08346608,0.01444093,0.00009962,0.10699735,0.99999999,0.26625427,0.01436349
0.08304661,0.01947489,0.00005975,0.13516128,0.99999999,0.26766621,0.01947775
0.08467429,0.01670308,0.00049120,0.10701615,0.99999999,0.25409123,0.01697524
0.08797374,0.01366397,0.00077773,0.06644519,0.99999999,0.23990840,0.01399493
inf,0.01271667,0.00089505,0.04229175,0.99999999,0.18452064,0.01303634
inf,0.01256243,0.00094633,0.03062289,0.99999999,inf,0.01285924
inf,0.01390158,0.00101197,0.01489807,0.99999999,inf,0.01395679
inf,0.01362345,0.00093944,0.01758604,0.99999999,inf,0.01368350
inf,0.01298823,0.00083652,0.03137317,0.99999999,0.21456653,0.01303804
0.09191165,0.01243291,0.00072294,0.08045849,0.99999999,0.24110049,0.01241740
0.08764352,0.01386481,0.00065836,0.11493594,0.99999999,0.25013251,0.01375863
0.08691380,0.01757443,0.00070087,0.13183926,0.99999999,0.24963586,0.01754842
0.08804443,0.01759025,0.00081741,0.12938565,0.99999999,0.24273969,0.01776981
0.09014269,0.01521096,0.00091676,0.10986051,0.99999999,0.22632631,0.01550114
inf,0.01360234,0.00097293,0.08637871,0.99999999,inf,0.01392743
inf,0.01286542,0.00100148,0.06896177,0.99999999,inf,0.01319464
inf,0.01307044,0.00100354,0.02291489,0.99999999,inf,0.01312613
inf,0.01268955,0.00095605,0.02765350,0.99999999,inf,0.01273660
inf,0.01218366,0.00090447,0.04905428,0.99999999,inf,0.01219436
inf,0.01227343,0.00087117,0.09221354,0.99999999,inf,0.01221183
0.08952532,0.01409086,0.00087508,0.11807290,0.99999999,0.21823520,0.01398264
0.09172166,0.01702362,0.00090922,0.13066684,0.99999999,0.22179536,0.01699517
0.09276194,0.01768092,0.00095569,0.13225613,0.99999999,inf,0.01780979
inf,0.01619107,0.00099864,0.12351198,0.99999999,inf,0.01643205
inf,0.01469272,0.00102834,0.10950592,0.99999999,inf,0.01498744
inf,0.01378817,0.00104593,0.09643371,0.99999999,inf,0.01410366
inf,0.01254912,0.00101477,0.02627536,0.99999999,inf,0.01259560
inf,0.01219516,0.00098334,0.03262365,0.99999999,inf,0.01222130
inf,0.01193498,0.00095527,0.05803729,0.99999999,inf,0.01191260
inf,0.01246542,0.00094470,0.09738442,0.99999999,inf,0.01237907
inf,0.01439704,0.00095729,0.11955882,0.99999999,inf,0.01429164
inf,0.01686849,0.00098388,0.13030617,0.99999999,inf,0.01684367
inf,0.01761331,0.00101335,0.13262266,0.99999999,inf,0.01772096
inf,0.01660776,0.00103995,0.12751650,0.99999999,inf,0.01681818
inf,0.01536920,0.00106035,0.11818551,0.99999999,inf,0.01563582
inf,0.01455780,0.00107426,0.10919319,0.99999999,inf,0.01484921
