Method,r2_Average
EDMD,9.98463905e-01
SINDy,-7.46468443e-01
HANDI,9.99982688e-01
PSE,2.80013751e-01
gEDMD,-1.21261240e+00
wSINDy,9.99999413e-01
SR3,-7.46403864e-01
