Method,MSE_Average
EDMD,4.05692315e-04
SINDy,4.92984473e-01
HANDI,9.02456630e-06
PSE,1.76442634e-01
gEDMD,9.04179722e-01
wSINDy,1.32066813e-07
SR3,4.92941423e-01
