SINDy,HANDI,PSE,gEDMD,SR3
1.26039712e-01,6.20429956e-06,7.26039818e-02,1.52320196e-01,1.28256174e-01
1.25092756e-01,1.79696057e-05,7.17027795e-02,1.45698256e-01,1.27326113e-01
1.24671946e-01,3.11334924e-05,7.19579537e-02,1.42956402e-01,1.26924050e-01
1.24954879e-01,4.14689630e-05,7.33436267e-02,1.43927747e-01,1.27268025e-01
1.22136996e-01,1.46011898e-05,6.83030922e-02,1.42270591e-01,1.24309648e-01
1.20762807e-01,2.00556157e-05,6.63694730e-02,1.38335995e-01,1.22954353e-01
1.20516123e-01,2.43202682e-05,6.67027014e-02,1.37504758e-01,1.22720932e-01
1.21503064e-01,3.19375537e-05,6.91834575e-02,1.40006830e-01,1.23801680e-01
1.23661373e-01,1.17865628e-05,7.15713712e-02,1.44491639e-01,1.25652274e-01
1.20221731e-01,1.14556209e-05,6.70830580e-02,1.38030075e-01,1.22293802e-01
1.16034834e-01,1.02560835e-05,6.13666486e-02,1.33183937e-01,1.18190988e-01
1.12646553e-01,8.76347643e-06,5.68608007e-02,1.28811657e-01,1.14847084e-01
1.12312008e-01,9.41764531e-06,5.72582315e-02,1.28527458e-01,1.14456963e-01
1.15725913e-01,1.54257172e-05,6.23499191e-02,1.33279436e-01,1.17994772e-01
1.20248895e-01,3.20219156e-05,6.83506501e-02,1.38910171e-01,1.22709906e-01
1.24818664e-01,3.06602312e-05,7.33714636e-02,1.41160356e-01,1.26823626e-01
1.21334331e-01,1.84151356e-05,6.93137873e-02,1.37946695e-01,1.23427208e-01
1.15409251e-01,9.59634724e-06,6.21430608e-02,1.32149756e-01,1.17602556e-01
1.05929115e-01,4.34068187e-06,5.11684464e-02,1.22191654e-01,1.08167627e-01
9.52615379e-02,2.14766069e-06,4.01205995e-02,1.08798598e-01,9.72747017e-02
9.45634695e-02,2.28445069e-06,4.04831532e-02,1.08249716e-01,9.62942127e-02
1.06457750e-01,5.79655538e-06,5.20673534e-02,1.22937780e-01,1.08627878e-01
1.16187000e-01,1.87872903e-05,6.31712188e-02,1.33269668e-01,1.18644250e-01
1.22369496e-01,5.22885897e-05,7.04272741e-02,1.40731437e-01,1.24944376e-01
1.26340438e-01,1.10029661e-04,7.47912647e-02,1.47214762e-01,1.28925962e-01
1.24412748e-01,5.65443884e-05,7.29431524e-02,1.40280943e-01,1.26637530e-01
1.20179851e-01,2.52528700e-05,6.79454473e-02,1.35813939e-01,1.22490342e-01
1.11912455e-01,8.46597735e-06,5.83662852e-02,1.27737921e-01,1.14234442e-01
9.42239939e-02,2.06579520e-06,4.08877600e-02,1.08515878e-01,9.60581934e-02
6.14962650e-02,4.05557384e-07,1.57497650e-02,5.75508790e-02,6.08501812e-02
6.10268882e-02,4.51550654e-07,1.58594897e-02,5.72958682e-02,6.09992986e-02
9.56235276e-02,2.36754805e-06,4.12865367e-02,1.09651810e-01,9.77737328e-02
1.12814448e-01,1.08768558e-05,5.87951638e-02,1.28979737e-01,1.15336865e-01
1.20914236e-01,3.60606245e-05,6.83600113e-02,1.36565999e-01,1.23505838e-01
1.25293497e-01,8.51781775e-05,7.34356324e-02,1.41217326e-01,1.27840373e-01
1.24943990e-01,8.88554503e-05,7.34356324e-02,1.40831522e-01,1.27284483e-01
1.20569749e-01,3.71077081e-05,6.83600113e-02,1.35892941e-01,1.22926767e-01
1.12500257e-01,1.10411389e-05,5.87951638e-02,1.27827614e-01,1.14784623e-01
9.54820689e-02,2.37521015e-06,4.12865367e-02,1.09245367e-01,9.73268333e-02
6.10824506e-02,4.51575234e-07,1.58594897e-02,5.68087436e-02,6.06145852e-02
6.13727852e-02,4.05535732e-07,1.57497650e-02,5.73398713e-02,6.10518348e-02
9.44833622e-02,2.05769460e-06,4.08877600e-02,1.09408264e-01,9.67426317e-02
1.12277440e-01,8.29409781e-06,5.83662852e-02,1.28354484e-01,1.14803928e-01
1.20514218e-01,2.42252526e-05,6.79454473e-02,1.35537861e-01,1.23001464e-01
1.24718240e-01,5.30561915e-05,7.29431524e-02,1.39054693e-01,1.27113353e-01
1.25979211e-01,1.13769498e-04,7.47912647e-02,1.42060052e-01,1.28304667e-01
1.21995498e-01,5.35587742e-05,7.04272741e-02,1.37324995e-01,1.24293002e-01
1.15796695e-01,1.90733584e-05,6.31712188e-02,1.30925486e-01,1.18015103e-01
1.06101400e-01,5.83110341e-06,5.20673534e-02,1.21954616e-01,1.08105519e-01
9.45169350e-02,2.28031889e-06,4.04831532e-02,1.08645469e-01,9.62426950e-02
9.51680371e-02,2.13970745e-06,4.01205995e-02,1.09121624e-01,9.73803172e-02
1.05878047e-01,4.30784853e-06,5.11684464e-02,1.22149030e-01,1.08332872e-01
1.15486679e-01,9.30116741e-06,6.21430608e-02,1.31614776e-01,1.17815935e-01
1.21453385e-01,1.73756747e-05,6.93137873e-02,1.37133838e-01,1.23684814e-01
1.24951322e-01,2.80806603e-05,7.33714636e-02,1.39732093e-01,1.27114182e-01
1.27189511e-01,1.05386569e-04,7.66665605e-02,1.43285065e-01,1.29496395e-01
1.23918106e-01,6.49302156e-05,7.31707240e-02,1.39055188e-01,1.26192923e-01
1.19727903e-01,3.22038712e-05,6.83506501e-02,1.34681326e-01,1.21950967e-01
1.15140446e-01,1.52926569e-05,6.23499191e-02,1.31027476e-01,1.17277052e-01
1.11873941e-01,9.12893399e-06,5.72582315e-02,1.27099816e-01,1.14016803e-01
1.12320445e-01,8.45020450e-06,5.68608007e-02,1.27061539e-01,1.14575797e-01
1.15697235e-01,1.00378484e-05,6.13666486e-02,1.30725547e-01,1.17943046e-01
1.19936717e-01,1.13296758e-05,6.70830580e-02,1.35085964e-01,1.22114845e-01
1.23069636e-01,4.30738547e-05,7.25215963e-02,1.37460878e-01,1.25276823e-01
1.20903914e-01,2.92315878e-05,6.91834575e-02,1.35836467e-01,1.23057472e-01
1.19992233e-01,2.12762536e-05,6.67027014e-02,1.34404794e-01,1.22139462e-01
1.20320296e-01,1.75464713e-05,6.63694730e-02,1.34533738e-01,1.22505919e-01
1.21676487e-01,1.38520763e-05,6.83030922e-02,1.36714242e-01,1.23892140e-01
1.23723405e-01,9.42374370e-06,7.12061994e-02,1.39475601e-01,1.25945092e-01
1.24355179e-01,3.03450700e-05,7.33436267e-02,1.37468525e-01,1.26478605e-01
1.24148625e-01,2.11177906e-05,7.19579537e-02,1.38184909e-01,1.26264360e-01
1.24625991e-01,1.27166030e-05,7.17027795e-02,1.39359992e-01,1.26779423e-01
1.25557103e-01,7.07694080e-06,7.26039818e-02,1.41704374e-01,1.27753340e-01
1.26807689e-01,1.17328377e-05,7.41490208e-02,1.44835576e-01,1.29032969e-01
