SINDy,HANDI,PSE,gEDMD,SR3
6.59861259e-05,7.30657324e-08,7.55041044e-13,3.49030524e-02,2.90428658e-05
3.45768712e-05,6.79119783e-08,8.58551743e-13,1.40953189e-02,1.09222855e-05
3.54392005e-05,6.28624037e-08,6.91914737e-13,5.37558032e-03,1.51736183e-05
4.50072734e-05,5.85860787e-08,3.13176625e-13,2.14896591e-03,2.39011443e-05
5.02451336e-05,5.57836338e-08,1.97651711e-13,9.96972032e-04,2.98468189e-05
4.45464556e-05,5.53351394e-08,1.10596268e-13,5.96896395e-04,2.93979231e-05
3.40313070e-05,5.73862342e-08,1.46295125e-13,5.23612172e-04,2.46669161e-05
2.83210449e-05,6.09149678e-08,3.45674213e-13,7.61247857e-04,1.82651668e-05
3.41821356e-05,6.36435519e-08,9.09265251e-13,1.82053113e-03,1.41520469e-05
7.12635496e-05,6.24560435e-08,7.55041044e-13,5.85896455e-03,2.79401848e-05
3.28536766e-05,6.25357885e-08,9.09265316e-13,7.93532090e-03,1.50473009e-05
3.11118054e-05,5.72433382e-08,3.14136783e-13,2.14683782e-03,1.86725015e-05
3.98756468e-05,5.14591861e-08,8.53617875e-14,6.39382342e-04,3.33860401e-05
4.70508015e-05,4.62646574e-08,2.53039847e-14,2.56630851e-04,4.81102830e-05
4.66320419e-05,4.29750571e-08,1.12456114e-14,1.44869823e-04,5.40811346e-05
4.19580271e-05,4.27590334e-08,2.48140665e-14,1.06883574e-04,5.41598230e-05
3.70855116e-05,4.58506131e-08,3.52059398e-14,9.57740884e-05,4.95720558e-05
3.32548420e-05,5.09693007e-08,7.72265444e-14,1.19189392e-04,3.59798560e-05
3.18790899e-05,5.56398127e-08,3.14136843e-13,3.37438339e-04,1.85162964e-05
3.65542249e-05,5.67804904e-08,8.58551744e-13,1.91071214e-03,1.00846279e-05
2.83321657e-05,5.43747300e-08,3.45674153e-13,1.85431361e-03,1.89948405e-05
3.33076551e-05,4.85733960e-08,7.72264708e-14,3.97438528e-04,3.50017112e-05
4.23543062e-05,4.14502561e-08,1.22119915e-14,1.41251350e-04,5.28225824e-05
4.29915226e-05,3.44265523e-08,1.13195230e-15,8.17312549e-05,5.42941929e-05
3.70053282e-05,2.96905711e-08,1.41751331e-15,5.86955378e-05,4.70318657e-05
3.53819497e-05,2.95854042e-08,1.38399033e-15,5.57980686e-05,4.74456035e-05
3.94423006e-05,3.43138299e-08,2.27946059e-15,6.52445806e-05,5.56323369e-05
4.23068821e-05,4.15668800e-08,1.22119649e-14,7.20707715e-05,5.37959775e-05
4.04156337e-05,4.84197196e-08,8.53619729e-14,1.26410817e-04,3.27153333e-05
3.65169118e-05,5.18785563e-08,6.91914738e-13,8.01144373e-04,1.37295162e-05
