SINDy,HANDI,PSE,gEDMD,SR3
2.94739921e-04,1.55931732e-07,4.20410541e-13,2.61439923e-02,2.69944647e-04
2.47014310e-04,1.55027564e-07,4.93183412e-13,1.16029836e-02,2.28487499e-04
2.48748506e-04,1.53427659e-07,4.15053926e-13,5.06377686e-03,2.42891853e-04
2.66288391e-04,1.51569134e-07,2.28780570e-13,2.44398072e-03,2.68668334e-04
2.76263960e-04,1.50013430e-07,1.64724068e-13,1.41611274e-03,2.83095207e-04
2.67826646e-04,1.49510557e-07,1.03319251e-13,1.02261919e-03,2.81500742e-04
2.48840117e-04,1.50268164e-07,1.30941894e-13,9.37805736e-04,2.69204199e-04
2.36551005e-04,1.51616784e-07,2.39209727e-13,1.14994295e-03,2.50861159e-04
2.47197809e-04,1.52018120e-07,5.03684300e-13,2.03957863e-03,2.37230890e-04
3.02254504e-04,1.49437930e-07,4.20410541e-13,5.02219060e-03,2.61404461e-04
2.44387065e-04,1.50826974e-07,5.03684348e-13,7.23406694e-03,2.43563602e-04
2.41108546e-04,1.49758812e-07,2.27399333e-13,2.54944617e-03,2.53827059e-04
2.58032999e-04,1.47376195e-07,9.07499219e-14,1.11174753e-03,2.89047336e-04
2.70646013e-04,1.44368078e-07,3.82497920e-14,6.63265909e-04,3.16561130e-04
2.69320262e-04,1.42033715e-07,2.27975568e-14,5.03374119e-04,3.25044080e-04
2.60950588e-04,1.41883080e-07,3.45702421e-14,4.45049268e-04,3.25207727e-04
2.52674487e-04,1.44198476e-07,4.16900365e-14,4.34100214e-04,3.19288079e-04
2.45724967e-04,1.47412941e-07,8.04351753e-14,4.78339889e-04,2.93597951e-04
2.42786331e-04,1.49443136e-07,2.27399408e-13,7.59575482e-04,2.50551451e-04
2.50877514e-04,1.48284394e-07,4.93183413e-13,2.19803399e-03,2.21566217e-04
2.36326636e-04,1.46825828e-07,2.39209671e-13,2.34685116e-03,2.56067671e-04
2.45780634e-04,1.44967880e-07,8.04351239e-14,8.67025891e-04,2.94271267e-04
2.60965448e-04,1.40550273e-07,1.96410754e-14,5.05672477e-04,3.23317443e-04
2.55985275e-04,1.33874392e-07,8.76055629e-15,3.76754433e-04,3.09867484e-04
2.36296785e-04,1.27665296e-07,9.38511556e-15,3.05304119e-04,2.78195844e-04
2.32623625e-04,1.27684104e-07,9.68867087e-15,2.99342809e-04,2.78744298e-04
2.48725379e-04,1.34155363e-07,9.88624085e-15,3.44814599e-04,3.11652682e-04
2.60953248e-04,1.41348569e-07,1.96410516e-14,3.84162949e-04,3.23098572e-04
2.59161763e-04,1.45960430e-07,9.07500544e-14,4.88546193e-04,2.84792216e-04
2.50979117e-04,1.46637654e-07,4.15053927e-13,1.23388923e-03,2.34279827e-04
2.49727482e-04,1.44026091e-07,1.30941845e-13,1.11158122e-03,2.71933598e-04
2.53592230e-04,1.40904113e-07,4.16899735e-14,5.26061762e-04,3.18082462e-04
2.49382830e-04,1.32647944e-07,9.88626147e-15,3.67728064e-04,3.10649218e-04
2.07220507e-04,1.15837485e-07,1.47745182e-14,2.18776712e-04,2.23153692e-04
1.49259433e-04,9.38239113e-08,1.57286314e-14,1.03913578e-04,1.36789014e-04
1.48616447e-04,9.38529479e-08,1.63483081e-14,1.03848280e-04,1.37160590e-04
2.06769095e-04,1.16144759e-07,1.47744874e-14,2.17684105e-04,2.24649145e-04
2.55857731e-04,1.33440553e-07,8.76053567e-15,3.45490361e-04,3.10233029e-04
2.71102694e-04,1.42050631e-07,3.82499104e-14,4.30720692e-04,3.11104077e-04
2.67251811e-04,1.44751454e-07,2.28780570e-13,8.86781282e-04,2.58749261e-04
2.68587934e-04,1.42807907e-07,1.03319251e-13,7.87691239e-04,2.80016239e-04
2.61673915e-04,1.38560070e-07,3.45702421e-14,4.39913826e-04,3.21933720e-04
2.33108692e-04,1.26063052e-07,9.68867088e-15,3.03066374e-04,2.78152125e-04
1.48901621e-04,9.31098673e-08,1.63483080e-14,1.04791783e-04,1.37377143e-04
4.18207220e-05,3.26636358e-08,1.78479826e-14,8.01375225e-06,2.87793183e-05
4.17228649e-05,3.26657971e-08,1.78479826e-14,8.12917173e-06,2.87930875e-05
1.49103517e-04,9.32395756e-08,1.57286794e-14,1.04663136e-04,1.38775171e-04
2.36279984e-04,1.26389097e-07,9.38511776e-15,2.99229429e-04,2.79199513e-04
2.69566448e-04,1.39064842e-07,2.27975280e-14,4.12599571e-04,3.19061043e-04
2.76677696e-04,1.43199885e-07,1.64724068e-13,7.59728627e-04,2.73304683e-04
2.76677696e-04,1.43199885e-07,1.64724068e-13,7.99042556e-04,2.77972264e-04
2.69566448e-04,1.39064842e-07,2.27975568e-14,4.35622274e-04,3.19807547e-04
2.36279984e-04,1.26389097e-07,9.38511556e-15,3.00868849e-04,2.77748651e-04
1.49103517e-04,9.32395755e-08,1.57286314e-14,1.05197606e-04,1.37797819e-04
4.17228649e-05,3.26657971e-08,1.78479826e-14,8.35807311e-06,2.88790707e-05
4.18207220e-05,3.26636358e-08,1.78479826e-14,7.98719259e-06,2.90370196e-05
1.48901621e-04,9.31098674e-08,1.63483239e-14,1.04962222e-04,1.39065243e-04
2.33108692e-04,1.26063052e-07,9.68867077e-15,2.98305156e-04,2.79068789e-04
2.61673915e-04,1.38560070e-07,3.45702913e-14,4.02569596e-04,3.18756134e-04
2.68587934e-04,1.42807907e-07,1.03319251e-13,7.20400858e-04,2.72920033e-04
2.67251811e-04,1.44751454e-07,2.28780551e-13,1.15301643e-03,2.63208213e-04
2.71102694e-04,1.42050631e-07,3.82497920e-14,5.10575701e-04,3.10004667e-04
2.55857731e-04,1.33440553e-07,8.76054255e-15,3.59408731e-04,3.07934910e-04
2.06769095e-04,1.16144759e-07,1.47745027e-14,2.18550252e-04,2.24062839e-04
1.48616447e-04,9.38529479e-08,1.63483239e-14,1.05673411e-04,1.38247315e-04
1.49259433e-04,9.38239113e-08,1.57286794e-14,1.04761287e-04,1.38447981e-04
2.07220507e-04,1.15837485e-07,1.47744414e-14,2.17543887e-04,2.24875644e-04
2.49382830e-04,1.32647944e-07,9.88624081e-15,3.37257757e-04,3.09450960e-04
2.53592230e-04,1.40904113e-07,4.16899734e-14,3.97153213e-04,3.12147296e-04
2.49727482e-04,1.44026091e-07,1.30941894e-13,7.56371377e-04,2.62343767e-04
2.50979117e-04,1.46637654e-07,4.15054058e-13,2.21179701e-03,2.41044555e-04
2.59161763e-04,1.45960430e-07,9.07500542e-14,7.38200325e-04,2.81759668e-04
2.60953248e-04,1.41348569e-07,1.96411223e-14,4.43060359e-04,3.16680196e-04
2.48725379e-04,1.34155363e-07,9.88624089e-15,3.52164395e-04,3.07183485e-04
2.32623625e-04,1.27684104e-07,9.68867078e-15,2.97159109e-04,2.77281196e-04
2.36296785e-04,1.27665296e-07,9.38511777e-15,2.93618343e-04,2.77647088e-04
2.55985275e-04,1.33874392e-07,8.76054244e-15,3.34557249e-04,3.07935323e-04
2.60965448e-04,1.40550273e-07,1.96410048e-14,3.62663651e-04,3.18696238e-04
2.45780634e-04,1.44967880e-07,8.04349693e-14,4.37140091e-04,2.87184495e-04
2.36326636e-04,1.46825828e-07,2.39209726e-13,9.98567678e-04,2.46764606e-04
2.50877514e-04,1.48284394e-07,4.93183412e-13,4.85584953e-03,2.34689252e-04
2.42786331e-04,1.49443136e-07,2.27399508e-13,1.41029599e-03,2.47781743e-04
2.45724967e-04,1.47412941e-07,8.04351243e-14,6.23149465e-04,2.83246268e-04
2.52674487e-04,1.44198476e-07,4.16900153e-14,4.41888422e-04,3.08123164e-04
2.60950588e-04,1.41883080e-07,3.45702913e-14,3.92450190e-04,3.16126079e-04
2.69320262e-04,1.42033715e-07,2.27975280e-14,3.78373238e-04,3.17074385e-04
2.70646013e-04,1.44368077e-07,3.82499107e-14,3.89136883e-04,3.08652576e-04
2.58032999e-04,1.47376195e-07,9.07499224e-14,4.54361405e-04,2.81942345e-04
2.41108546e-04,1.49758812e-07,2.27399407e-13,7.48259100e-04,2.48265105e-04
2.44387065e-04,1.50826974e-07,5.03684300e-13,1.97366503e-03,2.38575515e-04
3.02254504e-04,1.49437930e-07,4.20410541e-13,1.03216752e-02,2.96892299e-04
2.47197809e-04,1.52018120e-07,5.03684348e-13,3.37238847e-03,2.41955868e-04
2.36551005e-04,1.51616784e-07,2.39209671e-13,1.30944300e-03,2.44346848e-04
2.48840117e-04,1.50268164e-07,1.30941846e-13,7.33715823e-04,2.58889924e-04
2.67826646e-04,1.49510557e-07,1.03319251e-13,5.71730972e-04,2.70534960e-04
2.76263960e-04,1.50013430e-07,1.64724068e-13,5.60526179e-04,2.72071249e-04
2.66288391e-04,1.51569134e-07,2.28780551e-13,6.95052611e-04,2.58685216e-04
2.48748506e-04,1.53427659e-07,4.15054057e-13,1.14113598e-03,2.36262955e-04
2.47014310e-04,1.55027564e-07,4.93183412e-13,2.38674479e-03,2.26892976e-04
2.94739921e-04,1.55931732e-07,4.20410541e-13,5.54166705e-03,2.75833373e-04
