val/loss,val/step1,val/rollout_avg,epoch,step,train/loss,train/main,train/align,train/step1,train/rollout_avg
7.305771760002244e-06,5.608018909697421e-06,5.659175712935394e-06,0,0,,,,,
,,,0,0,1788.9937744140625,0.013955156318843365,1788.9798583984375,,
7.305755389097612e-06,5.608004812529543e-06,5.659167982230429e-06,1,1,,,,,
,,,1,1,0.18520833551883698,0.012234275229275227,0.17297406494617462,,
7.3057226472883485e-06,5.607977072941139e-06,5.659151611325797e-06,2,2,,,,,
,,,2,2,0.053849685937166214,0.01027753483504057,0.04357215389609337,,
7.305683993763523e-06,5.6079443311318755e-06,5.6591325119370595e-06,3,3,,,,,
,,,3,3,0.017258383333683014,0.010929188691079617,0.006329195108264685,,
7.305656254175119e-06,5.607920684269629e-06,5.659118414769182e-06,4,4,,,,,
,,,4,4,0.08914665132761002,0.008303266949951649,0.08084338158369064,,
7.305629424081417e-06,5.607897946902085e-06,5.659105227096006e-06,5,5,,,,,
,,,5,5,2.4818856716156006,0.006852032151073217,2.4750335216522217,,
7.305608960450627e-06,5.6078802117554005e-06,5.659095222654287e-06,6,6,,,,,
,,,6,6,0.010081592947244644,0.005510741379112005,0.004570852033793926,,
7.305598046514206e-06,5.607871116808383e-06,5.659089765686076e-06,7,7,,,,,
,,,7,7,0.010956349782645702,0.005789452698081732,0.0051668970845639706,,
7.30557985662017e-06,5.607855655398453e-06,5.659080670739058e-06,8,8,,,,,
,,,8,8,0.014360985718667507,0.003666762262582779,0.010694223456084728,,
7.305561211978784e-06,5.607839739241172e-06,5.659071575792041e-06,9,9,,,,,
,,,9,9,0.019106300547719002,0.0031602077651768923,0.01594609208405018,,
7.305544386326801e-06,5.607825187325943e-06,5.659063390339725e-06,10,10,,,,,
,,,10,10,0.005854605231434107,0.0013574504991993308,0.0044971550814807415,,
7.305524377443362e-06,5.6078083616739605e-06,5.659052931150654e-06,11,11,,,,,
,,,11,11,0.688927948474884,0.0011892433976754546,0.6877387166023254,,
7.305508916033432e-06,5.607795174000785e-06,5.659044745698338e-06,12,12,,,,,
,,,12,12,0.09119703620672226,0.0017325481167063117,0.08946447819471359,,
7.305495273612905e-06,5.607783805317013e-06,5.659038379235426e-06,13,13,,,,,
,,,13,13,0.31208136677742004,0.0009574939613230526,0.31112387776374817,,
7.305478902708273e-06,5.607769708149135e-06,5.659030648530461e-06,14,14,,,,,
,,,14,14,0.11296850442886353,0.0005031804321333766,0.11246532201766968,,
7.305462986550992e-06,5.6077560657286085e-06,5.659022463078145e-06,15,15,,,,,
,,,15,15,0.021307744085788727,0.0014066699659451842,0.019901074469089508,,
7.3054466156463604e-06,5.607742423308082e-06,5.659014277625829e-06,16,16,,,,,
,,,16,16,0.10990514606237411,0.002826105570420623,0.10707905143499374,,
7.305436611204641e-06,5.607733783108415e-06,5.65900973015232e-06,17,17,,,,,
,,,17,17,0.007203239481896162,0.0008054616046138108,0.0063977777026593685,,
7.305419785552658e-06,5.607719231193187e-06,5.659001089952653e-06,18,18,,,,,
,,,18,18,0.06877044588327408,0.0038179547991603613,0.06495249271392822,,
7.305407507374184e-06,5.607708772004116e-06,5.658995178237092e-06,19,19,,,,,
,,,19,19,0.017847081646323204,0.00145127868745476,0.016395803540945053,,
7.30540023141657e-06,5.607702860288555e-06,5.658991540258285e-06,20,20,,,,,
,,,20,20,0.023460043594241142,0.0014493338530883193,0.02201070822775364,,
