Method,MSE_Average
EDMD,2.50842993e+05
SINDy,2.59621842e+00
HANDI,2.68216216e-01
PSE,5.88997329e+00
gEDMD,2.28429445e+00
wSINDy,1.55903533e-01
SR3,1.83945636e+00
