Method,MSE_Average
EDMD,4.23906368e+04
SINDy,1.67414425e+00
HANDI,4.71056546e-02
PSE,1.58485824e+00
gEDMD,2.20960263e+00
wSINDy,3.58262211e-02
SR3,1.27988232e+00
