Method,NPPI_Average
EDMD,6.20079185e-01
SINDy,9.99995534e-01
HANDI,9.99999374e-01
PSE,9.99989725e-01
gEDMD,8.99996969e-01
wSINDy,9.99999628e-01
SR3,9.59997210e-01
