Method,r2_Average
EDMD,-1.83312929e+00
SINDy,9.26920310e-01
HANDI,9.71716538e-01
PSE,-4.01962641e+01
gEDMD,7.93146796e-01
wSINDy,9.99462151e-01
SR3,9.01375982e-01
