Method,MSE_Average
EDMD,4.80632845e+00
SINDy,1.39897777e-01
HANDI,2.81311398e-02
PSE,4.24236244e+01
gEDMD,4.00388334e-01
wSINDy,1.21550643e-03
SR3,1.83658965e-01
