Method,MSE_Average
EDMD,1.11801906e+00
SINDy,5.47633815e-02
HANDI,2.15538615e-03
PSE,2.18646825e+00
gEDMD,3.20521475e-01
wSINDy,1.70399578e-03
SR3,7.05846169e-02
