Method,NPPI_Average
EDMD,9.66423934e-01
SINDy,9.99388024e-01
HANDI,9.99764227e-01
PSE,6.55487146e-01
gEDMD,9.98219301e-01
wSINDy,9.99995521e-01
SR3,9.99177538e-01
