Method,MSE_Average
EDMD,2.20294241e+00
SINDy,1.05664610e-01
HANDI,6.96384879e-03
PSE,1.03008190e+01
gEDMD,2.88184124e-01
wSINDy,1.20460305e-03
SR3,1.24379184e-01
