Method,MSE_Average
EDMD,1.24385240e-12
SINDy,5.09351027e-04
HANDI,2.46699544e-06
PSE,6.03376329e-02
gEDMD,5.52737600e-02
wSINDy,2.97164060e-08
SR3,5.38497302e-03
