Method,r2_Average
EDMD,1.00000000e+00
SINDy,9.99839149e-01
HANDI,9.99998929e-01
PSE,9.44913312e-01
gEDMD,9.92365074e-01
wSINDy,9.99999988e-01
SR3,9.96956293e-01
