EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
inf,0.00874471,0.01205451,0.00027886,0.99999999,1.10259557,0.00880063
inf,0.01168860,0.01197167,0.00029305,0.99999999,0.85064777,0.01183933
inf,0.01846956,0.01190403,0.00033673,0.99999999,0.65498172,0.01876556
inf,0.01999440,0.01191245,0.00038382,1.00000000,0.52288954,0.01993553
inf,0.00928987,0.01204043,0.00037381,1.00000000,0.45724462,0.00905792
inf,0.00522002,0.01226096,0.00037380,0.99999999,0.45771774,0.00511761
inf,0.00426545,0.01252258,0.00038380,0.99999999,0.52274014,0.00422219
inf,0.00514934,0.01279327,0.00033675,0.99999999,0.65452555,0.00510025
inf,0.00791722,0.01305161,0.00029305,0.99999999,0.85191475,0.00781289
inf,0.01112523,0.01330254,0.00027886,0.99999999,1.10331769,0.01098452
inf,0.00650005,0.01200728,0.00029305,1.00000000,0.92722625,0.00646364
inf,0.00864390,0.01187435,0.00022130,0.99999999,0.64052397,0.00868477
inf,0.01475045,0.01168663,0.00020235,0.99999999,0.41129764,0.01495606
inf,0.02168948,0.01153426,0.00023169,1.00000000,0.25456365,0.02179228
inf,0.00955903,0.01156621,0.00018626,1.00000000,0.17102669,0.00933040
inf,0.00508988,0.01181457,0.00018625,0.99999999,0.17076428,0.00500145
inf,0.00452088,0.01216703,0.00023170,0.99999999,0.25478693,0.00448491
inf,0.00657622,0.01251090,0.00020235,0.99999999,0.41299823,0.00651207
inf,0.01117079,0.01278561,0.00022130,0.99999999,0.64304248,0.01105198
inf,0.01548838,0.01298368,0.00029305,0.99999999,0.92545061,0.01536309
inf,0.00471607,0.01203310,0.00033675,1.00000000,0.77942981,0.00457918
inf,0.00569601,0.01182143,0.00020235,0.99999999,0.45110787,0.00561378
inf,0.00896250,0.01140150,0.00005855,0.99999999,0.17702845,0.00899589
inf,0.02038626,0.01078841,0.00002860,1.00000000,0.02737359,0.02064148
inf,0.01132407,0.01036009,0.00025417,0.99999999,0.15254989,0.01109055
inf,0.00525354,0.01068445,0.00025416,0.99999999,0.15248763,0.00517973
inf,0.00545571,0.01147570,0.00002859,0.99999999,0.02733527,0.00542108
inf,0.01074087,0.01212360,0.00005855,0.99999999,0.17686629,0.01064485
inf,0.01870216,0.01251774,0.00020235,1.00000000,0.45347814,0.01860442
inf,0.02329229,0.01274119,0.00033673,0.99999999,0.78326533,0.02323028
inf,0.00425654,0.01219223,0.00038380,1.00000000,0.67328734,0.00402472
inf,0.00441107,0.01189415,0.00023170,0.99999999,0.29132077,0.00421275
inf,0.00527754,0.01116788,0.00002859,0.99999999,0.02752251,0.00514598
inf,0.01029248,0.00942969,0.01071592,0.99999999,0.29127793,0.01032662
inf,0.01869028,0.00618197,0.88497205,1.00000000,0.47781284,0.01856253
inf,0.00644369,0.00665979,0.88497205,1.00000000,0.47796930,0.00639170
inf,0.01020940,0.01004719,0.01071592,1.00000000,0.29128209,0.01013901
inf,0.02383493,0.01157908,0.00002860,1.00000000,0.02758481,0.02377815
inf,0.02682006,0.01219315,0.00023169,1.00000000,0.29112161,0.02680514
inf,0.02524271,0.01246487,0.00038382,0.99999999,0.67203793,0.02524399
inf,0.00565500,0.01242156,0.00037380,1.00000000,0.60972810,0.00535050
inf,0.00539302,0.01207721,0.00018625,1.00000000,0.19300224,0.00509804
inf,0.00531703,0.01117018,0.00025416,1.00000000,0.15000636,0.00504249
inf,0.00637141,0.00801444,0.88497205,0.99999999,0.46634186,0.00615381
inf,0.02233067,0.01433836,0.99203706,0.99999999,0.76148389,0.02238427
inf,0.01832780,0.01380175,0.99203706,1.00000000,0.76150100,0.01828934
inf,0.02550485,0.00798750,0.88497205,0.99999999,0.46683759,0.02552883
inf,0.01512714,0.01097288,0.00025417,1.00000000,0.15040597,0.01528671
inf,0.01215178,0.01181480,0.00018626,1.00000000,0.19419407,0.01235494
inf,0.01129767,0.01213104,0.00037381,1.00000000,0.61243382,0.01151209
inf,0.01130250,0.01261211,0.00037381,0.99999999,0.60951716,0.01103939
inf,0.01169768,0.01226052,0.00018626,1.00000000,0.19284591,0.01143850
inf,0.01361448,0.01138081,0.00025417,1.00000000,0.14992914,0.01338437
