Method,NPPI_Average
EDMD,0.00000000e+00
SINDy,9.76285550e-01
HANDI,9.99691170e-01
PSE,9.70648761e-01
gEDMD,0.00000000e+00
wSINDy,9.99799815e-01
SR3,9.76221508e-01
