time,x,y,x1,y1,theta_left,theta_right,theta
1.32,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.34,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.36,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.38,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.4,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.42,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.44,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.46,48.0,169.0,91.0,170.0,0.0,-0.7990831790321913,-0.4378237807823959
1.48,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.5,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.52,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.54,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.56,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.58,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.6,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.62,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.64,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.66,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.68,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.7,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.72,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.74,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.76,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.78,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
1.8,48.0,169.0,91.0,170.0,0.0,-0.7990831790321913,-0.4378237807823959
1.82,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.84,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.86,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.88,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.9,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.92,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.94,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.96,48.0,169.0,92.0,170.0,0.0,0.0,0.0
1.98,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.0,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.02,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.04,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.06,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.08,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.1,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.12,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.14,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.16,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.18,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.2,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.22,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.24,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.26,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.28,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.3,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.32,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.34,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.36,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.38,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.4,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.42,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.44,48.0,169.0,92.0,170.0,0.0,0.0,0.0
2.46,48.0,169.0,91.0,170.0,0.0,-0.7990831790321913,-0.4378237807823959
