Method,r2_Average
EDMD,9.96208089e-01
SINDy,9.96743304e-01
HANDI,9.99913469e-01
PSE,-1.26285146e+00
gEDMD,9.47163489e-01
wSINDy,9.99999999e-01
SR3,9.91056230e-01
