Method,NPPI_Average
EDMD,9.97662786e-01
SINDy,9.99436877e-01
HANDI,9.99981252e-01
PSE,6.27761904e-01
gEDMD,8.32214914e-01
wSINDy,1.00000000e+00
SR3,9.98345659e-01
