Method,NPPI_Average
EDMD,3.78808376e-01
SINDy,3.63434387e-01
HANDI,9.95744466e-01
PSE,3.89827730e-01
gEDMD,0.00000000e+00
wSINDy,1.31897659e-01
SR3,3.99417985e-01
