SINDy,HANDI,PSE,gEDMD,SR3
1.88818963e-01,4.19188540e-05,1.60196194e-01,2.22832936e-01,1.88328366e-01
1.66497274e-01,7.16204048e-06,1.37960108e-01,1.98879749e-01,1.65965480e-01
1.71021018e-01,2.47419536e-06,1.40317860e-01,1.97873547e-01,1.70310468e-01
1.79282036e-01,5.52880203e-06,1.46148524e-01,1.96594599e-01,1.78055278e-01
1.83698472e-01,2.26284849e-05,1.54062380e-01,2.19309080e-01,1.82524768e-01
1.88845818e-01,2.27728100e-06,1.56350612e-01,2.01786153e-01,1.88622356e-01
1.75825696e-01,1.41020555e-05,1.44256980e-01,1.86420783e-01,1.75506849e-01
1.59427261e-01,1.54576137e-05,1.28652008e-01,1.74943833e-01,1.59052196e-01
1.45682943e-01,7.64846487e-06,1.14051813e-01,1.64850464e-01,1.45298438e-01
1.40994526e-01,2.45306514e-06,1.08330767e-01,1.61947527e-01,1.40551133e-01
1.45566991e-01,1.94640544e-06,1.12029023e-01,1.64580747e-01,1.44890496e-01
1.58356039e-01,6.18126465e-06,1.24194538e-01,1.70329370e-01,1.57083344e-01
1.69553005e-01,2.21158433e-05,1.39886621e-01,1.89435335e-01,1.68666944e-01
1.90102393e-01,2.61692973e-06,1.53869029e-01,2.08330515e-01,1.90110931e-01
1.75736325e-01,2.50175113e-06,1.38786844e-01,1.86784471e-01,1.75747311e-01
1.53001697e-01,3.67661030e-06,1.16107360e-01,1.63187925e-01,1.53008798e-01
1.19800864e-01,1.59323495e-06,8.61720702e-02,1.33313749e-01,1.19568296e-01
9.85280719e-02,3.25988171e-07,6.40668525e-02,1.11125239e-01,9.82809760e-02
1.01643189e-01,4.33782745e-07,6.84187179e-02,1.14270271e-01,1.00886811e-01
1.29536501e-01,2.30076252e-06,9.52148972e-02,1.45220697e-01,1.28409735e-01
1.57250620e-01,9.69671377e-06,1.24271919e-01,1.79438613e-01,1.56651964e-01
1.77861456e-01,2.79255647e-05,1.44540669e-01,1.97642522e-01,1.77449251e-01
1.87829167e-01,1.80689665e-06,1.53108424e-01,2.11434633e-01,1.88039162e-01
1.71806271e-01,1.55462244e-06,1.36369194e-01,1.91839100e-01,1.72046877e-01
1.46516141e-01,1.29559110e-06,1.09294973e-01,1.63815591e-01,1.46848832e-01
1.00428825e-01,2.82718731e-07,6.66375665e-02,1.16301649e-01,1.00719551e-01
3.65404430e-02,2.77923609e-09,1.92419989e-02,3.26097186e-02,3.65377413e-02
4.01016899e-02,8.26832837e-09,2.01685552e-02,3.20842538e-02,3.92541325e-02
1.09729515e-01,3.45632996e-07,6.97353074e-02,1.25338209e-01,1.08952923e-01
1.51649247e-01,2.38475506e-06,1.12168960e-01,1.73530360e-01,1.51226227e-01
1.76422307e-01,6.74273621e-06,1.38333389e-01,1.91821332e-01,1.76154904e-01
1.92605443e-01,9.96526879e-06,1.54543264e-01,1.92569302e-01,1.92412669e-01
1.86365110e-01,9.96526879e-06,1.54543264e-01,2.09062492e-01,1.86801821e-01
1.70138962e-01,6.74273621e-06,1.38333389e-01,1.91683552e-01,1.70638138e-01
1.45478826e-01,2.38475506e-06,1.12168960e-01,1.65384364e-01,1.46102703e-01
1.04432128e-01,3.45632996e-07,6.97353074e-02,1.20831315e-01,1.05351101e-01
3.95383068e-02,8.26832837e-09,2.01685552e-02,3.31194656e-02,4.04673338e-02
4.09117357e-02,2.77923609e-09,1.92419989e-02,3.09347949e-02,4.08668499e-02
1.06763974e-01,2.82718731e-07,6.66375665e-02,1.22223913e-01,1.06579061e-01
1.52727243e-01,1.29559110e-06,1.09294973e-01,1.71140836e-01,1.52623271e-01
1.77901227e-01,1.55462244e-06,1.36369194e-01,1.88347464e-01,1.77921399e-01
1.93796846e-01,1.80689665e-06,1.53108424e-01,1.97685616e-01,1.93868839e-01
1.71633811e-01,2.79255647e-05,1.44540669e-01,1.91962979e-01,1.72245111e-01
1.51441654e-01,9.69671377e-06,1.24271919e-01,1.69503027e-01,1.52193662e-01
1.25346142e-01,2.30076252e-06,9.52148972e-02,1.39763144e-01,1.26538957e-01
1.02849991e-01,4.33782744e-07,6.84187179e-02,1.17874268e-01,1.03748242e-01
1.03288161e-01,3.25988171e-07,6.40668525e-02,1.15930581e-01,1.03599784e-01
1.25416941e-01,1.59323495e-06,8.61720702e-02,1.40983226e-01,1.25615586e-01
1.59200219e-01,3.67661030e-06,1.16107360e-01,1.71250810e-01,1.59167257e-01
1.81849191e-01,2.50175113e-06,1.38786844e-01,1.93500775e-01,1.81926226e-01
1.76690548e-01,6.18143634e-05,1.53062048e-01,1.95143005e-01,1.77428526e-01
1.64069856e-01,2.21158433e-05,1.39886621e-01,1.77994319e-01,1.65043489e-01
1.54967016e-01,6.18126465e-06,1.24194538e-01,1.65648636e-01,1.56290972e-01
1.46347965e-01,1.94640544e-06,1.12029023e-01,1.62150430e-01,1.47251389e-01
1.43917364e-01,2.45306514e-06,1.08330767e-01,1.59726023e-01,1.44580923e-01
1.49839130e-01,7.64846487e-06,1.14051813e-01,1.66240282e-01,1.50376868e-01
1.64494553e-01,1.54576137e-05,1.28652008e-01,1.79983638e-01,1.64834078e-01
1.78562731e-01,2.26284849e-05,1.54062380e-01,1.88503126e-01,1.79724754e-01
1.76423411e-01,5.52880203e-06,1.46148524e-01,1.84283281e-01,1.77788906e-01
1.71313891e-01,2.47419536e-06,1.40317860e-01,1.83950629e-01,1.72342305e-01
1.68545004e-01,7.16204048e-06,1.37960108e-01,1.83754027e-01,1.69423838e-01
1.69603832e-01,2.57874396e-05,1.38852688e-01,1.85922621e-01,1.70370216e-01
1.75310834e-01,5.64791624e-05,1.43568971e-01,1.93423987e-01,1.75950063e-01
1.92251122e-01,3.92831122e-05,1.69350338e-01,2.26669451e-01,1.93293264e-01
1.90341819e-01,7.25058991e-06,1.65072550e-01,1.97329639e-01,1.91616366e-01
1.90352995e-01,1.96137917e-06,1.60979301e-01,1.96665236e-01,1.91685297e-01
1.87197671e-01,1.64400896e-06,1.57817867e-01,1.99261364e-01,1.88251911e-01
1.84774057e-01,1.56754018e-05,1.56175259e-01,2.00902759e-01,1.85719219e-01
1.84064025e-01,7.18018609e-05,1.56010312e-01,2.03721466e-01,1.84926007e-01
