SINDy,HANDI,PSE,gEDMD,SR3
6.34344593e-03,7.91603456e-08,8.64381450e-03,1.93979641e-01,6.24126608e-03
5.77239222e-03,1.02680394e-07,9.10759641e-03,2.64275013e-01,5.75606658e-03
5.89281177e-03,7.75565434e-08,9.32026384e-03,1.22403299e-01,5.95807264e-03
6.21337155e-03,4.92509541e-08,9.49431585e-03,7.16464390e-02,6.34421242e-03
6.43688125e-03,3.50771627e-08,9.70305537e-03,4.25580616e-02,6.59069877e-03
6.40280643e-03,3.13474888e-08,1.01399096e-02,2.74855047e-02,6.54148161e-03
6.14397939e-03,3.27629759e-08,1.08781170e-02,2.32431062e-02,6.26765920e-03
5.77468798e-03,3.49455026e-08,1.14233551e-02,2.82569819e-02,5.89140411e-03
5.55465920e-03,3.25039037e-08,1.08535749e-02,4.73473609e-02,5.61878852e-03
6.36169824e-03,3.51804312e-08,8.64381450e-03,9.14387223e-02,6.22381055e-03
5.60953389e-03,4.54022122e-08,1.08535749e-02,1.29497501e-01,5.67773549e-03
5.87075843e-03,5.35886438e-08,1.08042610e-02,5.85549244e-02,5.96350339e-03
6.43983930e-03,4.41198111e-08,9.98617326e-03,2.76063216e-02,6.55300472e-03
7.01097355e-03,3.26120626e-08,8.88024280e-03,1.71229267e-02,7.13836582e-03
7.34591499e-03,2.74356031e-08,7.96370346e-03,1.29972279e-02,7.47520601e-03
7.39213583e-03,2.72762312e-08,7.89306637e-03,1.13126986e-02,7.52160231e-03
7.15874437e-03,2.94866956e-08,8.94925713e-03,1.12759784e-02,7.30052624e-03
6.55977034e-03,3.19902389e-08,1.04133970e-02,1.39655343e-02,6.70904361e-03
5.82348237e-03,2.98722474e-08,1.08042610e-02,2.77110168e-02,5.92868622e-03
5.74044032e-03,2.36167169e-08,9.10759641e-03,7.67086855e-02,5.70282844e-03
5.84983190e-03,3.86821595e-08,1.14233551e-02,3.90786627e-02,5.96299547e-03
6.60991496e-03,3.76445975e-08,1.04133970e-02,1.94232779e-02,6.73545732e-03
7.37905958e-03,3.09534422e-08,8.14108817e-03,1.22540841e-02,7.47775428e-03
7.59937870e-03,2.34622848e-08,5.65933078e-03,9.83755974e-03,7.64182173e-03
7.32741067e-03,1.96234367e-08,3.97520546e-03,8.56495044e-03,7.32762047e-03
7.32101512e-03,1.95672166e-08,3.81787148e-03,8.36418523e-03,7.33385532e-03
7.63396893e-03,2.24051309e-08,5.43798496e-03,9.09336917e-03,7.70405272e-03
7.34849259e-03,2.66648124e-08,8.14108817e-03,1.01901026e-02,7.46085611e-03
6.39082323e-03,2.77204851e-08,9.98617326e-03,1.71588090e-02,6.48704330e-03
