SINDy,HANDI,PSE,gEDMD,SR3
1.20531506e-02,9.22736144e-08,1.10591399e-02,1.73347573e-01,1.18573871e-02
1.13599772e-02,1.14521516e-07,1.14612141e-02,2.29447873e-01,1.12582467e-02
1.14904216e-02,9.10159551e-08,1.16022432e-02,1.15730428e-01,1.14832233e-02
1.18594966e-02,6.33511653e-08,1.17039703e-02,7.28900416e-02,1.19247859e-02
1.21136640e-02,4.91558055e-08,1.18608340e-02,4.73392379e-02,1.22012348e-02
1.20717849e-02,4.57053073e-08,1.22851939e-02,3.35549485e-02,1.21413988e-02
1.17722506e-02,4.73516405e-08,1.30458069e-02,2.95644416e-02,1.18287508e-02
1.13404900e-02,4.90629501e-08,1.36410223e-02,3.42692660e-02,1.13957492e-02
1.10887038e-02,4.41093012e-08,1.31677022e-02,5.13972946e-02,1.10848915e-02
1.20755136e-02,3.57417600e-08,1.10591399e-02,8.86930226e-02,1.18326275e-02
1.11544529e-02,6.05352468e-08,1.31677022e-02,1.21947553e-01,1.11575303e-02
1.14513478e-02,6.95252136e-08,1.30085740e-02,6.18486496e-02,1.14775871e-02
1.20999566e-02,6.01123218e-08,1.20798258e-02,3.38247276e-02,1.21391405e-02
1.27271598e-02,4.80728256e-08,1.08528798e-02,2.35946235e-02,1.27701241e-02
1.30822834e-02,4.25018112e-08,9.84370450e-03,1.93073553e-02,1.31182017e-02
1.31359184e-02,4.23680918e-08,9.77261584e-03,1.75194595e-02,1.31702895e-02
1.29002454e-02,4.47356446e-08,1.09186228e-02,1.75443396e-02,1.29552585e-02
1.22430587e-02,4.70994774e-08,1.24919741e-02,2.04370770e-02,1.23201754e-02
1.13948275e-02,4.36945204e-08,1.30085740e-02,3.38043978e-02,1.14341600e-02
1.13219384e-02,3.16124797e-08,1.14612141e-02,7.68803125e-02,1.11937295e-02
1.14299705e-02,5.44067809e-08,1.36410223e-02,4.46250751e-02,1.14844846e-02
1.22999297e-02,5.38513514e-08,1.24919741e-02,2.60207851e-02,1.23545328e-02
1.31192639e-02,4.66567149e-08,1.00322576e-02,1.85508271e-02,1.31236312e-02
1.32450945e-02,3.80653570e-08,7.26324228e-03,1.56749230e-02,1.31656054e-02
1.27943568e-02,3.33483496e-08,5.31246615e-03,1.39924557e-02,1.26512406e-02
1.27855109e-02,3.32904737e-08,5.14526539e-03,1.37598668e-02,1.26554478e-02
1.32848664e-02,3.68607141e-08,7.03510519e-03,1.48336466e-02,1.32321940e-02
1.30858543e-02,4.18769858e-08,1.00322576e-02,1.62969951e-02,1.31004610e-02
1.20423367e-02,4.29731954e-08,1.20798258e-02,2.36253120e-02,1.20591955e-02
1.14163965e-02,3.45063214e-08,1.16022432e-02,8.99558082e-02,1.13417162e-02
1.18307450e-02,5.35613731e-08,1.30458069e-02,2.38420193e-02,1.18654889e-02
1.29358116e-02,4.64102839e-08,1.09186228e-02,1.81337448e-02,1.29623408e-02
