val/loss,val/step1,val/rollout_avg,epoch,step,train/loss,train/main,train/align,train/step1,train/rollout_avg
0.008998715318739414,0.007042673882097006,0.006520136725157499,0,0,,,,,
,,,0,0,0.00016582926036790013,9.638423944124952e-05,6.944502092665061e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,1,1,,,,,
,,,1,1,0.0002724163932725787,0.00021164976351428777,6.076663703424856e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,2,2,,,,,
,,,2,2,0.00011199489381397143,5.4060925322119147e-05,5.7933968491852283e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,3,3,,,,,
,,,3,3,8.705441723577678e-05,3.191599898855202e-05,5.513842188520357e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,4,4,,,,,
,,,4,4,8.258781599579379e-05,2.9472763344529085e-05,5.31150508322753e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,5,5,,,,,
,,,5,5,7.574845949420705e-05,2.4905259124352597e-05,5.0843198550865054e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,6,6,,,,,
,,,6,6,6.957602454349399e-05,2.1262480004224926e-05,4.831354453926906e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,7,7,,,,,
,,,7,7,6.967471563257277e-05,2.3190086722024716e-05,4.648462709155865e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,8,8,,,,,
,,,8,8,6.576409214176238e-05,2.076045893772971e-05,4.500363502302207e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,9,9,,,,,
,,,9,9,6.629957351833582e-05,2.2061140043661e-05,4.4238429836696014e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,10,10,,,,,
,,,10,10,5.915562360314652e-05,1.5439005437656306e-05,4.3716616346500814e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,11,11,,,,,
,,,11,11,5.843833787366748e-05,1.5211361642286647e-05,4.322697714087553e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,12,12,,,,,
,,,12,12,5.630989471683279e-05,1.3537925951823127e-05,4.277196785551496e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,13,13,,,,,
,,,13,13,5.6177163060056046e-05,1.4387132068804931e-05,4.179003008175641e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,14,14,,,,,
,,,14,14,5.294381844578311e-05,1.1886427273566369e-05,4.105739208171144e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,15,15,,,,,
,,,15,15,5.329280611476861e-05,1.2731024071399588e-05,4.056178295286372e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,16,16,,,,,
,,,16,16,5.277105083223432e-05,1.2408104339556303e-05,4.036294558318332e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,17,17,,,,,
,,,17,17,5.2181138016749173e-05,1.1486164112284314e-05,4.069497299497016e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,18,18,,,,,
,,,18,18,5.1591159717645496e-05,1.0404621207271703e-05,4.118653669138439e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,19,19,,,,,
,,,19,19,5.3503339586313814e-05,1.184832308354089e-05,4.1655017412267625e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,20,20,,,,,
,,,20,20,5.128962220624089e-05,9.554761163599323e-06,4.173486013314687e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,21,21,,,,,
,,,21,21,5.130162026034668e-05,9.740181667439174e-06,4.1561437683412805e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,22,22,,,,,
,,,22,22,5.1922914281021804e-05,1.0781087439681869e-05,4.114182593184523e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,23,23,,,,,
,,,23,23,4.922184598399326e-05,8.575088941142894e-06,4.064675886183977e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,24,24,,,,,
,,,24,24,4.968589928466827e-05,9.598787073628046e-06,4.0087114030029625e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,25,25,,,,,
,,,25,25,4.78984547953587e-05,8.3578916019178e-06,3.95405622839462e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,26,26,,,,,
,,,26,26,4.893554432783276e-05,9.847323781286832e-06,3.9088219637051225e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,27,27,,,,,
,,,27,27,4.669673216994852e-05,8.104604603431653e-06,3.859212665702216e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,28,28,,,,,
,,,28,28,4.766516212839633e-05,9.502223292656709e-06,3.8162939745234326e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,29,29,,,,,
,,,29,29,4.676502794609405e-05,8.938925930124242e-06,3.782610292546451e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,30,30,,,,,
,,,30,30,4.6117482270346954e-05,8.573210834583733e-06,3.754427234525792e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,31,31,,,,,
,,,31,31,4.5488930481951684e-05,7.991978236532304e-06,3.749695315491408e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,32,32,,,,,
,,,32,32,4.674757656175643e-05,8.855169653543271e-06,3.7892408727202564e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,33,33,,,,,
,,,33,33,4.669371264753863e-05,7.854936484363861e-06,3.8838777982164174e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,34,34,,,,,
,,,34,34,4.872986028203741e-05,8.03383045422379e-06,4.0696028008824214e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,35,35,,,,,
,,,35,35,5.1569182687671855e-05,7.844235369702801e-06,4.3724947317969054e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,36,36,,,,,
,,,36,36,5.664042691932991e-05,7.801855645084288e-06,4.883857036475092e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,37,37,,,,,
,,,37,37,6.462822057073936e-05,7.366160843957914e-06,5.72620629100129e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,38,38,,,,,
,,,38,38,7.87146418588236e-05,7.686426215514075e-06,7.102821837179363e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,39,39,,,,,
,,,39,39,0.00010134307376574725,8.668412192491814e-06,9.267465793527663e-05,,
0.008998715318739414,0.007042673882097006,0.006520136725157499,40,40,,,,,
