Method,NPPI_Average
EDMD,0.00000000e+00
SINDy,1.29370092e-02
HANDI,9.94399052e-01
PSE,0.00000000e+00
gEDMD,0.00000000e+00
wSINDy,1.79455339e-01
SR3,1.29368945e-02
