Method,ACR_Count,Total_Trajectories,ACR_Percentage
SINDy,0,100,0.0000
HANDI,100,100,1.0000
PSE,0,100,0.0000
gEDMD,73,100,0.7300
wSINDy,100,100,1.0000
SR3,0,100,0.0000
