Method,ACR_Count,Total_Trajectories,ACR_Percentage
SINDy,44,100,0.4400
HANDI,100,100,1.0000
PSE,0,100,0.0000
gEDMD,93,100,0.9300
wSINDy,100,100,1.0000
SR3,97,100,0.9700
