Method,ACR_Count,Total_Trajectories,ACR_Percentage
SINDy,100,100,1.0000
HANDI,100,100,1.0000
PSE,100,100,1.0000
gEDMD,82,100,0.8200
wSINDy,100,100,1.0000
SR3,100,100,1.0000
