Method,Stiffness k,Calc L (m),Error L (%),Damp Coeff δ,Calc b
HANDI,-22.529,0.435,1.16,0.108,0.005
SINDy,-19.062,0.515,19.77,0.071,0.003
SR3,-19.062,0.515,19.77,0.071,0.003
PSE,20.0,0.491,14.19,0.0,0.0
WSINDy,-24.045,0.408,5.12,0.15,0.007
gEDMD,-19.317,0.508,18.14,0.598,0.026
EDMD,18.339,0.535,24.42,0.94,0.041
