Method,Stiffness k,Calc L (m),Error L (%),Damp Coeff δ,Calc b
HANDI,-22.992,0.427,0.70,0.147,0.006
SINDy,-15.812,0.62,44.19,0.112,0.005
SR3,-15.812,0.62,44.19,0.112,0.005
PSE,17.0,0.577,34.19,0.0,0.0
WSINDy,-28.052,0.35,18.60,0.132,0.006
gEDMD,-15.474,0.634,47.44,0.595,0.026
EDMD,21.807,0.45,4.65,0.099,0.004
