SINDy,HANDI,PSE,gEDMD,SR3
1.31663099e-01,5.60130497e-06,9.48567867e-02,7.26381046e-01,1.32123326e-01
1.29807166e-01,3.33804810e-06,9.33039790e-02,7.26757599e-01,1.30463764e-01
1.28950251e-01,2.02126509e-06,9.15397171e-02,7.26857118e-01,1.29632161e-01
1.28571218e-01,1.39368179e-06,8.95735314e-02,7.27206203e-01,1.29266679e-01
1.28632256e-01,1.16629938e-06,8.82790437e-02,1.58781373e-01,1.29375386e-01
1.28675351e-01,1.18696059e-06,8.82809741e-02,1.51928624e-01,1.29461075e-01
1.28737551e-01,1.40076040e-06,8.95221069e-02,1.49159730e-01,1.29538041e-01
1.29348186e-01,1.81906473e-06,9.15903280e-02,1.52997146e-01,1.30112053e-01
1.30356085e-01,2.54506869e-06,9.40975741e-02,1.63930087e-01,1.30996794e-01
1.31475525e-01,3.92668643e-06,9.66933912e-02,1.77644117e-01,1.32094740e-01
1.30117178e-01,4.51775412e-06,9.34969250e-02,7.19787015e-01,1.30817813e-01
1.29054952e-01,2.25539363e-06,9.17765727e-02,7.18930456e-01,1.29769129e-01
1.27968200e-01,1.11358943e-06,8.94908275e-02,7.17591133e-01,1.28672137e-01
1.26950575e-01,6.40422154e-07,8.67815005e-02,1.45697389e-01,1.27661948e-01
1.26622895e-01,4.94928624e-07,8.50382390e-02,1.40655310e-01,1.27410546e-01
1.26811094e-01,5.14692861e-07,8.53517289e-02,1.38213589e-01,1.27646017e-01
1.27330828e-01,6.44827721e-07,8.73759263e-02,1.38616040e-01,1.28143874e-01
1.28356928e-01,8.79780227e-07,8.99834599e-02,1.43071346e-01,1.29098465e-01
1.29379757e-01,1.23931139e-06,9.24363568e-02,1.61261084e-01,1.29985247e-01
1.29902879e-01,1.81620081e-06,9.43781614e-02,1.80433291e-01,1.30487131e-01
1.29489234e-01,3.63351382e-06,9.22951418e-02,1.69847373e-01,1.30222792e-01
1.28410703e-01,1.50652198e-06,9.01421965e-02,1.60673241e-01,1.29162752e-01
1.26712577e-01,5.78319963e-07,8.63877357e-02,1.39851305e-01,1.27478835e-01
1.23721776e-01,2.69694700e-07,8.09170206e-02,1.33374117e-01,1.24474998e-01
1.21088582e-01,2.00494597e-07,7.64296134e-02,1.28896823e-01,1.21892140e-01
1.21381917e-01,2.14551218e-07,7.67591582e-02,1.28453066e-01,1.22260686e-01
1.24021591e-01,2.78388456e-07,8.13887472e-02,1.31285802e-01,1.24908059e-01
1.26626200e-01,3.92409095e-07,8.63475168e-02,1.33931122e-01,1.27413489e-01
1.28246662e-01,5.65830835e-07,8.98123720e-02,1.39759644e-01,1.28867733e-01
1.29026145e-01,8.18245610e-07,9.17748502e-02,1.60970010e-01,1.29621180e-01
1.29002133e-01,2.92349787e-06,9.11400305e-02,1.39439471e-01,1.29710962e-01
1.27580692e-01,1.04521504e-06,8.83214815e-02,1.37362509e-01,1.28347098e-01
1.24418362e-01,3.24319639e-07,8.18360616e-02,1.33143946e-01,1.25222827e-01
1.14642033e-01,1.32744946e-07,6.93147911e-02,1.20524503e-01,1.15145458e-01
9.70751718e-02,8.68011842e-08,5.49275941e-02,9.68530517e-02,9.65967020e-02
9.69303265e-02,9.12783167e-08,5.50104116e-02,9.69446567e-02,9.66247042e-02
1.14358623e-01,1.48584252e-07,6.92522120e-02,1.20281922e-01,1.15164840e-01
1.23649293e-01,2.45345856e-07,8.11300983e-02,1.30380870e-01,1.24541941e-01
1.27045375e-01,3.75150705e-07,8.72964690e-02,1.37380529e-01,1.27743522e-01
1.28493451e-01,5.30294269e-07,8.99803788e-02,1.48274028e-01,1.29130505e-01
1.28808014e-01,2.30902124e-06,9.00525503e-02,1.38974912e-01,1.29480421e-01
1.26919211e-01,7.82095526e-07,8.66346256e-02,1.35047667e-01,1.27686169e-01
1.21577203e-01,2.30635112e-07,7.73904676e-02,1.28664944e-01,1.22326242e-01
9.70492589e-02,8.20914113e-08,5.51583023e-02,9.72147479e-02,9.63670120e-02
2.60724725e-02,1.82527789e-08,1.95072950e-02,2.25500718e-02,2.33423880e-02
2.61088796e-02,1.71707170e-08,1.95068535e-02,2.23116313e-02,2.35708007e-02
9.71160767e-02,9.60464346e-08,5.50493481e-02,9.75796695e-02,9.73111921e-02
1.20969229e-01,2.48658686e-07,7.69519769e-02,1.27617132e-01,1.21871018e-01
1.26452800e-01,4.44767800e-07,8.60713010e-02,1.37438826e-01,1.27173507e-01
1.28371622e-01,6.35672362e-07,8.94707374e-02,1.49001353e-01,1.28998946e-01
1.28737490e-01,1.70935656e-06,8.94707374e-02,1.42059621e-01,1.29368064e-01
1.26716087e-01,6.22845092e-07,8.60713010e-02,1.36091863e-01,1.27459938e-01
1.21140180e-01,2.19177656e-07,7.69519769e-02,1.27869697e-01,1.21908483e-01
9.71155521e-02,8.67984317e-08,5.50493481e-02,9.71150054e-02,9.66240422e-02
2.60956154e-02,1.72209308e-08,1.95068535e-02,2.24454409e-02,2.34357391e-02
2.60463453e-02,1.88939202e-08,1.95072950e-02,2.23780163e-02,2.37210829e-02
9.67940122e-02,1.13393755e-07,5.51583023e-02,9.78575339e-02,9.70294540e-02
1.21279991e-01,3.28345605e-07,7.73904676e-02,1.27315984e-01,1.22054758e-01
1.26627708e-01,6.34824751e-07,8.66346256e-02,1.37745981e-01,1.27259305e-01
1.28456540e-01,9.35488804e-07,9.00525503e-02,1.50368982e-01,1.28997580e-01
1.28769967e-01,1.16120101e-06,8.99803788e-02,1.46499172e-01,1.29361041e-01
1.27196250e-01,5.22553316e-07,8.72964690e-02,1.38927659e-01,1.27905865e-01
1.23680512e-01,2.60479589e-07,8.11300983e-02,1.31363524e-01,1.24518569e-01
1.14198788e-01,1.52814580e-07,6.92522120e-02,1.19544165e-01,1.14853550e-01
9.67132547e-02,9.87823329e-08,5.50104116e-02,9.70321100e-02,9.65673342e-02
9.68396017e-02,1.13396521e-07,5.49275941e-02,9.69738534e-02,9.68881138e-02
1.14291422e-01,2.38076559e-07,6.93147911e-02,1.19407605e-01,1.14944085e-01
1.24081411e-01,5.23042173e-07,8.18360616e-02,1.30032850e-01,1.24738713e-01
1.27299036e-01,9.36795849e-07,8.83214815e-02,1.38251477e-01,1.27854333e-01
1.28706990e-01,1.34476791e-06,9.11400305e-02,1.51482303e-01,1.29186401e-01
1.29143198e-01,8.87065051e-07,9.17748502e-02,1.54301299e-01,1.29729884e-01
1.28232591e-01,5.64126165e-07,8.98123720e-02,1.43349365e-01,1.28930521e-01
1.26525701e-01,3.95141897e-07,8.63475168e-02,1.35686206e-01,1.27360291e-01
1.23818927e-01,2.98504985e-07,8.13887472e-02,1.30789569e-01,1.24660810e-01
1.21120732e-01,2.63274723e-07,7.67591582e-02,1.26943381e-01,1.21907125e-01
1.20815166e-01,3.17793241e-07,7.64296134e-02,1.26187101e-01,1.21536562e-01
1.23423128e-01,5.17342172e-07,8.09170206e-02,1.29524257e-01,1.24072464e-01
1.26404971e-01,9.04048537e-07,8.63877357e-02,1.33438114e-01,1.27023237e-01
1.28134327e-01,1.40794328e-06,9.01421965e-02,1.39625462e-01,1.28709538e-01
1.29217822e-01,1.87223089e-06,9.22951418e-02,1.53077667e-01,1.29738941e-01
1.29970898e-01,1.11419744e-06,9.43781614e-02,1.63534383e-01,1.30575691e-01
1.29300981e-01,9.59544748e-07,9.24363568e-02,1.49043163e-01,1.30001628e-01
1.28232069e-01,8.12300818e-07,8.99834599e-02,1.38670719e-01,1.29043391e-01
1.27159296e-01,6.88748612e-07,8.73759263e-02,1.35111210e-01,1.27975719e-01
1.26603365e-01,6.43890785e-07,8.53517289e-02,1.34147241e-01,1.27389367e-01
1.26414434e-01,7.41122524e-07,8.50382390e-02,1.34319974e-01,1.27144872e-01
1.26734253e-01,1.03831053e-06,8.67815005e-02,1.36178375e-01,1.27388194e-01
1.27722586e-01,1.53008940e-06,8.94908275e-02,1.39444937e-01,1.28351668e-01
1.28793003e-01,2.10110551e-06,9.17765727e-02,1.46083225e-01,1.29424085e-01
1.29838841e-01,2.58396470e-06,9.34969250e-02,1.58811960e-01,1.30460596e-01
