SINDy,HANDI,PSE,gEDMD,SR3
1.78339851e-01,8.73079516e-06,1.45908104e-01,7.21648711e-01,1.78583555e-01
1.74842847e-01,5.39227060e-06,1.43147738e-01,7.22820896e-01,1.75559711e-01
1.73666449e-01,3.38353072e-06,1.39963520e-01,7.24378979e-01,1.74433833e-01
1.73477958e-01,2.37126199e-06,1.36272635e-01,7.27838086e-01,1.74265004e-01
1.74010933e-01,1.97839088e-06,1.33773245e-01,2.27132999e-01,1.74923647e-01
1.74077299e-01,1.99934808e-06,1.33698867e-01,2.15184445e-01,1.75169201e-01
1.73771626e-01,2.35037270e-06,1.35975840e-01,2.10211448e-01,1.75036787e-01
1.74492964e-01,3.03540486e-06,1.39873207e-01,2.17305521e-01,1.75802472e-01
1.76078599e-01,4.18353872e-06,1.44692353e-01,2.37045909e-01,1.77191125e-01
1.77820843e-01,6.29050920e-06,1.49745559e-01,2.60887449e-01,1.78947253e-01
1.75519964e-01,6.79347982e-06,1.43461811e-01,7.09717433e-01,1.76292862e-01
1.74265242e-01,3.45629104e-06,1.40641272e-01,7.08086057e-01,1.75063773e-01
1.73125935e-01,1.71789402e-06,1.36784578e-01,7.06473855e-01,1.73885328e-01
1.72071120e-01,9.49707159e-07,1.32060046e-01,2.03460219e-01,1.72825345e-01
1.72076516e-01,6.90865937e-07,1.29038022e-01,1.94311906e-01,1.72993816e-01
1.72410264e-01,7.11370857e-07,1.29647122e-01,1.89838624e-01,1.73503356e-01
1.72733057e-01,9.30406315e-07,1.33198373e-01,1.90546063e-01,1.73946938e-01
1.73847238e-01,1.33943135e-06,1.37727093e-01,1.98921825e-01,1.75066778e-01
1.74962879e-01,1.95185689e-06,1.42010309e-01,2.31942440e-01,1.75990460e-01
1.74974536e-01,2.87627181e-06,1.45395217e-01,2.64913006e-01,1.76046938e-01
1.74702227e-01,5.23201278e-06,1.41418124e-01,2.47947439e-01,1.75490189e-01
1.73917124e-01,2.13355835e-06,1.38111811e-01,2.31017263e-01,1.74722529e-01
1.72266689e-01,7.62862278e-07,1.31923318e-01,1.92661375e-01,1.73075828e-01
1.68106987e-01,2.87465756e-07,1.22599271e-01,1.80651435e-01,1.68873269e-01
1.64147509e-01,1.73910939e-07,1.14980553e-01,1.72467368e-01,1.65012755e-01
1.64643880e-01,1.89277530e-07,1.15640454e-01,1.71746464e-01,1.65698124e-01
1.68574209e-01,2.87496281e-07,1.23540515e-01,1.77038451e-01,1.69847333e-01
1.72035654e-01,4.83580628e-07,1.31835821e-01,1.82014486e-01,1.73317084e-01
1.73673609e-01,7.89210528e-07,1.37478885e-01,1.92918630e-01,1.74732999e-01
1.73763995e-01,1.21466749e-06,1.40448474e-01,2.31434780e-01,1.74870142e-01
1.74123059e-01,4.01503173e-06,1.39460164e-01,1.91455271e-01,1.74796435e-01
1.73070105e-01,1.33387332e-06,1.35259141e-01,1.87835499e-01,1.73830997e-01
1.69259873e-01,3.32847323e-07,1.24501839e-01,1.80227382e-01,1.70051045e-01
1.52840795e-01,8.50069158e-08,1.03126423e-01,1.56830026e-01,1.53027001e-01
1.21674644e-01,4.25077561e-08,7.89472691e-02,1.16807806e-01,1.20395647e-01
1.21429980e-01,4.72849579e-08,7.91012881e-02,1.17066999e-01,1.20490827e-01
1.52338595e-01,1.06922533e-07,1.02991273e-01,1.56594105e-01,1.53381117e-01
1.67818357e-01,2.47879421e-07,1.23067830e-01,1.75601162e-01,1.69299331e-01
1.72197111e-01,4.65326997e-07,1.33184946e-01,1.88497956e-01,1.73430376e-01
1.73214038e-01,7.27429607e-07,1.37120755e-01,2.08671020e-01,1.74423101e-01
1.74087003e-01,3.03214228e-06,1.37489786e-01,1.90673431e-01,1.74666569e-01
1.72401141e-01,8.95231256e-07,1.32410133e-01,1.83504806e-01,1.73166214e-01
1.64865048e-01,1.84003073e-07,1.16973836e-01,1.71822688e-01,1.65573308e-01
1.21519635e-01,3.76456812e-08,7.93919005e-02,1.17334125e-01,1.19942154e-01
2.90303639e-02,5.27708674e-09,2.46456134e-02,2.81047660e-02,2.75862219e-02
2.90624345e-02,4.67699558e-09,2.46419464e-02,2.78630447e-02,2.78111373e-02
1.21656750e-01,5.89834890e-08,7.91709336e-02,1.18073973e-01,1.21778888e-01
1.63756453e-01,2.65702185e-07,1.16083947e-01,1.70356731e-01,1.65236006e-01
1.71580467e-01,5.95246248e-07,1.31262933e-01,1.88463332e-01,1.72866436e-01
1.73240396e-01,9.24259405e-07,1.36302813e-01,2.09760944e-01,1.74435450e-01
1.74012809e-01,2.17483138e-06,1.36302813e-01,1.96695389e-01,1.74557280e-01
1.72089885e-01,6.66813212e-07,1.31262933e-01,1.85578608e-01,1.72907820e-01
1.64026220e-01,1.64956275e-07,1.16083947e-01,1.70477388e-01,1.64919076e-01
1.21533105e-01,4.26344102e-08,7.91709336e-02,1.17364967e-01,1.20423431e-01
2.90434124e-02,4.69171569e-09,2.46419464e-02,2.80149921e-02,2.77158322e-02
2.90065576e-02,5.71816602e-09,2.46456134e-02,2.79013171e-02,2.79914963e-02
1.21049967e-01,8.05452600e-08,7.93919005e-02,1.18369619e-01,1.21328815e-01
1.64226916e-01,3.99573246e-07,1.16973836e-01,1.69555265e-01,1.65469398e-01
1.71733595e-01,9.39581252e-07,1.32410133e-01,1.88825534e-01,1.72850079e-01
1.73257781e-01,1.47777682e-06,1.37489786e-01,2.11979655e-01,1.74280715e-01
1.73692334e-01,1.50317266e-06,1.37120755e-01,2.05086374e-01,1.74240490e-01
1.72370234e-01,5.96605318e-07,1.33184946e-01,1.90996447e-01,1.73231562e-01
1.67712591e-01,2.46411556e-07,1.23067830e-01,1.76982806e-01,1.68872481e-01
1.51811188e-01,1.14704054e-07,1.02991273e-01,1.55102942e-01,1.52586920e-01
1.20801819e-01,5.81879313e-08,7.91012881e-02,1.17252297e-01,1.20437766e-01
1.21037241e-01,7.48192243e-08,7.89472691e-02,1.17122536e-01,1.21083302e-01
1.51968234e-01,2.47312177e-07,1.03126423e-01,1.55004647e-01,1.52948020e-01
