SINDy,HANDI,PSE,gEDMD,SR3
7.82451536e-02,1.35779725e-05,8.58993358e-02,7.34616486e-01,7.75362322e-02
7.42685612e-02,8.97930094e-06,8.30414383e-02,7.28923611e-01,7.43175600e-02
7.34266471e-02,5.99400583e-06,7.95772661e-02,7.22074426e-01,7.36918472e-02
7.38894151e-02,4.34506365e-06,7.50174591e-02,7.17063487e-01,7.43637682e-02
7.50607306e-02,3.65187676e-06,7.15827199e-02,1.75678204e-01,7.59014185e-02
7.49949125e-02,3.66683198e-06,7.09960015e-02,1.49472773e-01,7.62249266e-02
7.38535844e-02,4.25878016e-06,7.33968526e-02,1.36704351e-01,7.53676296e-02
7.38864555e-02,5.39914105e-06,7.81447614e-02,1.48574484e-01,7.54555518e-02
7.51159836e-02,7.20624396e-06,8.45416236e-02,1.88542481e-01,7.64012008e-02
7.64491810e-02,1.02968987e-05,9.16619796e-02,2.42697269e-01,7.77292921e-02
7.53751707e-02,1.01603123e-05,8.30378841e-02,7.21064424e-01,7.53074751e-02
7.50681871e-02,5.52806649e-06,8.11260404e-02,7.10702725e-01,7.51200598e-02
7.54665709e-02,2.91583761e-06,7.82300264e-02,6.98015996e-01,7.55962282e-02
7.62679300e-02,1.63380066e-06,7.40801281e-02,1.31295630e-01,7.65905030e-02
7.78983627e-02,1.15664786e-06,7.13850152e-02,1.17482030e-01,7.87226233e-02
7.80868354e-02,1.17062765e-06,7.19285381e-02,1.08180125e-01,7.93911838e-02
7.64757584e-02,1.55139018e-06,7.49707044e-02,1.06084329e-01,7.80170549e-02
7.55222083e-02,2.28175733e-06,7.89540256e-02,1.17773365e-01,7.70419023e-02
7.50048390e-02,3.34687845e-06,8.30193225e-02,1.81976163e-01,7.62069775e-02
7.34555901e-02,4.83436750e-06,8.63327731e-02,2.57701014e-01,7.46586663e-02
7.50142820e-02,7.44349271e-06,8.10800834e-02,2.07928055e-01,7.49051851e-02
7.65008339e-02,3.19551761e-06,8.00161707e-02,1.79199036e-01,7.64744274e-02
7.87180737e-02,1.18309473e-06,7.65730563e-02,1.11640273e-01,7.88016256e-02
7.95084007e-02,4.07128765e-07,7.02582208e-02,1.01132801e-01,7.97339530e-02
8.00583499e-02,2.00106953e-07,6.53174948e-02,9.66792734e-02,8.08328575e-02
8.03311297e-02,2.12378141e-07,6.61512005e-02,9.49051861e-02,8.17589481e-02
7.92919134e-02,3.69661619e-07,7.13321486e-02,9.48794225e-02,8.10916331e-02
7.74642279e-02,7.12205121e-07,7.62625404e-02,9.42800202e-02,7.91809909e-02
7.52941787e-02,1.25741466e-06,7.92544370e-02,1.07282940e-01,7.65888117e-02
7.27650496e-02,1.99040582e-06,8.00790790e-02,1.81173698e-01,7.40335247e-02
7.49506733e-02,5.38919690e-06,7.93081494e-02,9.93377574e-02,7.46593666e-02
7.75407627e-02,1.80588401e-06,7.88847775e-02,9.92661071e-02,7.74228404e-02
8.08818938e-02,4.26144733e-07,7.33021878e-02,9.90959785e-02,8.09462217e-02
7.53875209e-02,6.91954235e-08,5.94755828e-02,8.67465848e-02,7.50409159e-02
5.90457271e-02,1.96463790e-08,4.41660556e-02,6.10289188e-02,5.82149415e-02
5.85516759e-02,2.39303620e-08,4.44420885e-02,6.09275594e-02,5.84340075e-02
7.40152485e-02,8.36096197e-08,5.92013149e-02,8.64949377e-02,7.58121918e-02
7.81969269e-02,2.76396911e-07,7.11378957e-02,9.29173657e-02,8.03632345e-02
7.57334985e-02,6.23878555e-07,7.59624679e-02,1.03732481e-01,7.73383603e-02
7.29685692e-02,1.06553266e-06,7.61092868e-02,1.35814819e-01,7.44057596e-02
7.54957812e-02,3.84511165e-06,7.71478956e-02,1.00234708e-01,7.50659599e-02
7.84906247e-02,1.06063579e-06,7.69253361e-02,9.55823079e-02,7.83950406e-02
8.09904522e-02,1.66858843e-07,6.88507450e-02,9.43332918e-02,8.11188555e-02
5.89706518e-02,1.44591942e-08,4.51059752e-02,6.10876315e-02,5.76264849e-02
