Method,MSE_Average
EDMD,1.02248990e-12
SINDy,7.62562032e-04
HANDI,7.31977957e-08
PSE,1.02248989e-12
gEDMD,4.72746204e-03
wSINDy,7.94222723e-12
SR3,7.58244221e-04
