Method,NPPI_Average
EDMD,1.00000000e+00
SINDy,9.67356322e-01
HANDI,9.99998373e-01
PSE,1.00000000e+00
gEDMD,9.20639630e-01
wSINDy,1.00000000e+00
SR3,9.67495194e-01
