Method,MSE_Average
EDMD,1.38277223e-12
SINDy,1.83412553e-03
HANDI,9.14321588e-08
PSE,1.38277223e-12
gEDMD,4.45896074e-03
wSINDy,1.20732894e-11
SR3,1.82632280e-03
