Method,r2_Average
EDMD,1.00000000e+00
SINDy,9.96550464e-01
HANDI,9.99999828e-01
PSE,1.00000000e+00
gEDMD,9.91613799e-01
wSINDy,1.00000000e+00
SR3,9.96565139e-01
