Method,r2_Average
EDMD,9.97073435e-01
SINDy,-8.38270182e-01
HANDI,9.99852752e-01
PSE,-7.66179453e-01
gEDMD,7.39816768e-02
wSINDy,9.99755670e-01
SR3,-8.38247340e-01
