Method,MSE_Average
EDMD,1.45624889e-03
SINDy,8.99812624e-01
HANDI,3.62000973e-05
PSE,9.58380091e-01
gEDMD,4.64853164e-01
wSINDy,5.51558741e-05
SR3,8.99824107e-01
