Method,MSE_Average
EDMD,1.50613581e-03
SINDy,9.46052755e-01
HANDI,7.57801021e-05
PSE,9.08951771e-01
gEDMD,4.76568784e-01
wSINDy,1.25742456e-04
SR3,9.46041000e-01
