EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
3.70760957e-03,9.48938871e-01,1.21541174e-04,8.93149483e-01,5.58441279e-01,1.07712144e-04,9.48952576e-01
1.95390397e-03,9.48860923e-01,9.38995864e-05,8.98007589e-01,5.44533315e-01,1.11925952e-04,9.48844333e-01
8.89450939e-04,9.48823303e-01,7.60458150e-05,9.02879566e-01,5.18898722e-01,1.16880910e-04,9.48774400e-01
3.87122838e-04,9.48768497e-01,6.71662743e-05,9.06605313e-01,5.03011644e-01,1.21358113e-04,9.48693214e-01
3.57284870e-04,9.48656934e-01,6.57615678e-05,9.10218804e-01,5.04889878e-01,1.23784003e-04,9.48572301e-01
7.89730622e-04,9.48575205e-01,6.93178606e-05,9.13672954e-01,5.20804226e-01,1.22804175e-04,9.48495702e-01
1.74289797e-03,9.48615350e-01,7.49400450e-05,9.15286548e-01,5.42106180e-01,1.17969635e-04,9.48539385e-01
3.27037428e-03,9.48771692e-01,8.07202247e-05,9.15632058e-01,5.63020712e-01,1.09969040e-04,9.48690132e-01
5.37960846e-03,9.48973137e-01,8.54171381e-05,9.16579940e-01,5.82047012e-01,1.00336486e-04,9.48881816e-01
8.06588379e-03,9.49093509e-01,8.73064636e-05,9.18165287e-01,5.98821822e-01,9.08155386e-05,9.48995063e-01
3.55335569e-03,9.48753753e-01,1.15165291e-04,8.89916980e-01,5.46071542e-01,9.23075690e-05,9.48755455e-01
1.91378980e-03,9.48882963e-01,9.31048002e-05,8.97325302e-01,5.25510301e-01,1.01455274e-04,9.48861356e-01
9.43407559e-04,9.48995264e-01,7.73303863e-05,9.04927516e-01,4.88611767e-01,1.11485157e-04,9.48942211e-01
4.62480269e-04,9.48987421e-01,6.85890030e-05,9.09633015e-01,4.62247993e-01,1.20649384e-04,9.48905991e-01
3.00881598e-04,9.48815631e-01,6.68098740e-05,9.12768617e-01,4.55196553e-01,1.26434672e-04,9.48733079e-01
3.82153224e-04,9.48724584e-01,6.94537579e-05,9.15355204e-01,4.73014655e-01,1.26990810e-04,9.48662000e-01
7.90691620e-04,9.48795750e-01,7.27518120e-05,9.15853912e-01,5.02526023e-01,1.22465198e-04,9.48741068e-01
1.70448865e-03,9.48943067e-01,7.53807771e-05,9.14911621e-01,5.32923297e-01,1.14492286e-04,9.48882874e-01
3.23815943e-03,9.49062842e-01,7.71320576e-05,9.13623452e-01,5.62155949e-01,1.05287049e-04,9.48997077e-01
5.41816047e-03,9.48997224e-01,7.65573066e-05,9.12473135e-01,5.87791603e-01,9.69511072e-05,9.48931083e-01
2.84897570e-03,9.48613058e-01,9.98624381e-05,8.91751008e-01,5.33267968e-01,8.20133858e-05,9.48594758e-01
1.42165185e-03,9.48770807e-01,8.45638494e-05,8.99891604e-01,5.08250764e-01,9.69793220e-05,9.48736196e-01
6.64023460e-04,9.48749212e-01,7.18387836e-05,9.09597568e-01,4.64245183e-01,1.14454246e-04,9.48688930e-01
3.64524245e-04,9.48291681e-01,6.34461894e-05,9.15145562e-01,4.24791286e-01,1.31947489e-04,9.48201373e-01
2.88512388e-04,9.47408507e-01,6.19462025e-05,9.16575378e-01,4.08287623e-01,1.43815062e-04,9.47326636e-01
2.98706543e-04,9.47364931e-01,6.63003323e-05,9.16587971e-01,4.06384680e-01,1.44408480e-04,9.47320929e-01
4.19628314e-04,9.48066490e-01,6.99471098e-05,9.15861685e-01,4.30706379e-01,1.35786908e-04,9.48031420e-01
8.92153520e-04,9.48730957e-01,7.11431471e-05,9.14586027e-01,4.71257929e-01,1.24140449e-04,9.48693990e-01
1.98344276e-03,9.49050952e-01,7.11309010e-05,9.11125282e-01,5.20200289e-01,1.13463970e-04,9.49014540e-01
3.78232644e-03,9.48924218e-01,6.89617817e-05,9.07178035e-01,5.69117322e-01,1.05849322e-04,9.48889512e-01
1.97540150e-03,9.48635213e-01,8.46953824e-05,8.95317867e-01,5.19667383e-01,7.59502897e-05,9.48595363e-01
8.40205870e-04,9.48720637e-01,7.58081407e-05,9.04176815e-01,4.91548361e-01,9.71002011e-05,9.48667030e-01
3.74914235e-04,9.48076594e-01,6.60899927e-05,9.16034205e-01,4.44461987e-01,1.24244333e-04,9.48009740e-01
3.36541967e-04,9.45490416e-01,5.63201505e-05,9.22848001e-01,4.53307435e-01,1.56821918e-04,9.45405890e-01
3.60768427e-04,9.39872801e-01,5.18571049e-05,9.19032848e-01,4.65992266e-01,1.86610237e-04,9.39812498e-01
3.13879576e-04,9.39955362e-01,6.03973447e-05,9.12794950e-01,4.65854962e-01,1.86337639e-04,9.39927695e-01
3.21574381e-04,9.45210732e-01,6.74121746e-05,9.15749155e-01,4.60858343e-01,1.59573871e-04,9.45199080e-01
5.45174448e-04,9.48124589e-01,6.81798585e-05,9.16172868e-01,4.12694501e-01,1.36813131e-04,9.48124460e-01
1.35933431e-03,9.49037900e-01,6.71384367e-05,9.10085130e-01,4.76273648e-01,1.22935218e-04,9.49039787e-01
2.92867992e-03,9.48919223e-01,6.42632024e-05,9.03302198e-01,5.37943688e-01,1.16420892e-04,9.48916644e-01
1.31232650e-03,9.48780982e-01,7.52024438e-05,8.98882285e-01,5.05527656e-01,7.28863419e-05,9.48727735e-01
4.93889790e-04,9.48862256e-01,7.20528112e-05,9.08121731e-01,4.73503852e-01,9.85580390e-05,9.48792778e-01
3.23311448e-04,9.47380034e-01,6.61804348e-05,9.19829051e-01,4.26313237e-01,1.32546308e-04,9.47304936e-01
4.82983838e-04,9.39814596e-01,5.60649721e-05,9.24260816e-01,4.65966185e-01,1.80421800e-04,9.39756754e-01
3.64489553e-04,9.02917218e-01,4.30896593e-05,8.85052357e-01,4.43296399e-01,2.66930951e-04,9.02931432e-01
3.72747364e-04,9.04700226e-01,5.69486285e-05,8.75330603e-01,4.43281286e-01,2.73650293e-04,9.04774110e-01
2.88561113e-04,9.39969492e-01,6.43280556e-05,9.15532047e-01,4.66054158e-01,1.83034620e-04,9.40013248e-01
4.44009660e-04,9.47453924e-01,6.50578802e-05,9.18694854e-01,4.37450799e-01,1.45379589e-04,9.47497878e-01
1.18552722e-03,9.49023163e-01,6.45816474e-05,9.09942823e-01,4.44028268e-01,1.30441111e-04,9.49058460e-01
2.70459559e-03,9.48935783e-01,6.28296577e-05,9.01141529e-01,5.17758205e-01,1.27142970e-04,9.48955897e-01
9.98391466e-04,9.48885990e-01,7.12379719e-05,9.01141529e-01,4.93615259e-01,7.16052034e-05,9.48838122e-01
3.94457650e-04,9.49038214e-01,7.22838286e-05,9.09942823e-01,4.58933495e-01,9.81748149e-05,9.48976280e-01
3.58219197e-04,9.47532937e-01,7.01595244e-05,9.18694854e-01,4.22919135e-01,1.30524109e-04,9.47463896e-01
4.83813584e-04,9.40118524e-01,6.38099880e-05,9.15532047e-01,4.66034453e-01,1.73898915e-04,9.40050471e-01
3.02529941e-04,9.05117854e-01,5.57529662e-05,8.75330603e-01,4.43303890e-01,2.60356856e-04,9.05101436e-01
2.91663243e-04,9.03013024e-01,4.36357636e-05,8.85052357e-01,4.43328658e-01,2.61800609e-04,9.03034192e-01
2.95577137e-04,9.39736271e-01,5.48490930e-05,9.24260816e-01,4.66136215e-01,1.74482095e-04,9.39776447e-01
5.48303887e-04,9.47318326e-01,6.08051206e-05,9.19829051e-01,4.46855188e-01,1.43294690e-04,9.47368352e-01
1.42606997e-03,9.48871453e-01,6.44797551e-05,9.08121731e-01,4.14699555e-01,1.33914646e-04,9.48911863e-01
3.05619899e-03,9.48858700e-01,6.67565833e-05,8.98882285e-01,5.03217184e-01,1.36545367e-04,9.48880977e-01
1.00089314e-03,9.48905270e-01,7.02719748e-05,9.03302198e-01,4.89097800e-01,7.14435991e-05,9.48881928e-01
4.40866835e-04,9.49070796e-01,7.31914994e-05,9.10085128e-01,4.57397499e-01,9.58162504e-05,9.49044124e-01
3.64172393e-04,9.48191806e-01,7.24473518e-05,9.16172868e-01,4.30474554e-01,1.21090293e-04,9.48168108e-01
5.08526659e-04,9.45316348e-01,6.64404672e-05,9.15749155e-01,4.52695590e-01,1.48142822e-04,9.45303158e-01
4.30168906e-04,9.40110921e-01,5.44574800e-05,9.12794950e-01,4.65947787e-01,1.76272197e-04,9.40120301e-01
3.48127967e-04,9.39929839e-01,4.65703011e-05,9.19032847e-01,4.66518501e-01,1.75378523e-04,9.39978853e-01
4.86359377e-04,9.45461250e-01,5.20720064e-05,9.22848001e-01,4.61485171e-01,1.49501688e-04,9.45522494e-01
1.00647973e-03,9.48064298e-01,6.16576291e-05,9.16034205e-01,4.41243521e-01,1.34821538e-04,9.48107265e-01
2.12765204e-03,9.48767835e-01,7.11536934e-05,9.04176815e-01,4.02421109e-01,1.33501721e-04,9.48793552e-01
3.93721303e-03,9.48741205e-01,8.01096574e-05,8.95317867e-01,4.85666819e-01,1.42780992e-04,9.48749256e-01
1.30903012e-03,9.48954369e-01,7.09781042e-05,9.07178035e-01,4.94982723e-01,7.23269338e-05,9.48961380e-01
6.46087341e-04,9.49108171e-01,7.45407807e-05,9.11125282e-01,4.71174417e-01,9.32254803e-05,9.49117161e-01
3.78552007e-04,9.48794381e-01,7.47525576e-05,9.14586027e-01,4.52337765e-01,1.11057440e-04,9.48803866e-01
4.47811657e-04,9.48128799e-01,7.09741328e-05,9.15861685e-01,4.41564762e-01,1.25454363e-04,9.48135946e-01
5.87557013e-04,9.47430765e-01,6.35933103e-05,9.16587971e-01,4.36197172e-01,1.35624361e-04,9.47448200e-01
7.10733133e-04,9.47452715e-01,5.85833057e-05,9.16575378e-01,4.40658646e-01,1.35320172e-04,9.47507728e-01
1.04362041e-03,9.48311770e-01,6.21773988e-05,9.15145563e-01,4.42006387e-01,1.27362880e-04,9.48374492e-01
1.80056558e-03,9.48788667e-01,7.32255661e-05,9.09597568e-01,4.38686963e-01,1.23398282e-04,9.48824682e-01
3.12886845e-03,9.48857894e-01,8.85579765e-05,8.99891604e-01,4.12227226e-01,1.28335267e-04,9.48866893e-01
5.10336847e-03,9.48751882e-01,1.06448188e-04,8.91751008e-01,4.69704429e-01,1.42943772e-04,9.48740134e-01
2.01697031e-03,9.49076665e-01,7.36210318e-05,9.12473135e-01,5.07145291e-01,7.44566125e-05,9.49111417e-01
1.16697488e-03,9.49153407e-01,7.77559435e-05,9.13623452e-01,4.91283420e-01,9.18182822e-05,9.49188343e-01
5.87739063e-04,9.49023681e-01,7.93428508e-05,9.14911621e-01,4.78001560e-01,1.03550199e-04,9.49054604e-01
3.76604519e-04,9.48858448e-01,7.84309077e-05,9.15853912e-01,4.66490360e-01,1.09730721e-04,9.48886655e-01
4.97896098e-04,9.48772342e-01,7.55374983e-05,9.15355204e-01,4.55148938e-01,1.11791609e-04,9.48810804e-01
8.33676186e-04,9.48852479e-01,7.40959626e-05,9.12768617e-01,4.46934833e-01,1.10267814e-04,9.48909765e-01
1.41343568e-03,9.49025598e-01,7.91124378e-05,9.09633017e-01,4.43617219e-01,1.07680927e-04,9.49081178e-01
2.38744464e-03,9.49059488e-01,9.28472494e-05,9.04927516e-01,4.40920564e-01,1.08850144e-04,9.49088708e-01
3.89779558e-03,9.48994271e-01,1.14805711e-04,8.97325302e-01,4.21574523e-01,1.17300828e-04,9.48991774e-01
6.02948112e-03,9.48922102e-01,1.43870815e-04,8.89916980e-01,4.70774777e-01,1.34978702e-04,9.48892677e-01
3.29972433e-03,9.49227272e-01,7.88142509e-05,9.18165287e-01,5.19445468e-01,7.81262507e-05,9.49288821e-01
2.24738076e-03,9.49102926e-01,8.35144618e-05,9.16579940e-01,5.07418062e-01,9.23381275e-05,9.49159880e-01
1.29442531e-03,9.48879176e-01,8.60550971e-05,9.15632058e-01,4.95855685e-01,9.93716770e-05,9.48929885e-01
6.23036739e-04,9.48693998e-01,8.67310776e-05,9.15286548e-01,4.83873451e-01,1.00059596e-04,9.48742706e-01
3.81717134e-04,9.48628020e-01,8.63165598e-05,9.13672954e-01,4.71444618e-01,9.71160917e-05,9.48681847e-01
5.78130150e-04,9.48694928e-01,8.76156500e-05,9.10218804e-01,4.60615659e-01,9.32303072e-05,9.48753178e-01
1.18799014e-03,9.48809506e-01,9.50747867e-05,9.06605313e-01,4.53218255e-01,9.10030954e-05,9.48858337e-01
2.25962463e-03,9.48889308e-01,1.12378362e-04,9.02879566e-01,4.47235807e-01,9.31689467e-05,9.48912962e-01
3.88526271e-03,9.48974068e-01,1.41392683e-04,8.98007589e-01,4.34220845e-01,1.02146034e-04,9.48965472e-01
6.14209434e-03,9.49119679e-01,1.82692972e-04,8.93149483e-01,4.89210704e-01,1.20130823e-04,9.49078571e-01
