Method,MSE_Average
EDMD,1.35647800e-03
SINDy,4.63690101e-01
HANDI,9.82370716e-06
PSE,5.09345540e-01
gEDMD,3.42845715e-01
wSINDy,3.71345765e-06
SR3,4.63690218e-01
