Method,r2_Average
EDMD,7.50740152e-01
SINDy,-9.58012877e-01
HANDI,9.99938738e-01
PSE,-8.38861882e-01
gEDMD,8.03957712e-02
wSINDy,9.99238681e-01
SR3,-9.57994433e-01
