Method,MSE_Average
EDMD,4.30451199e-02
SINDy,8.46682313e-01
HANDI,2.04928399e-05
PSE,9.13900789e-01
gEDMD,4.12483486e-01
wSINDy,1.65180406e-04
SR3,8.46651772e-01
