Method,NPPI_Average
EDMD,0.00000000e+00
SINDy,4.59593182e-01
HANDI,9.96963062e-01
PSE,9.95869277e-01
gEDMD,4.46905543e-01
wSINDy,9.79568470e-01
SR3,0.00000000e+00
