Method,NPPI_Average
EDMD,4.94022942e-01
SINDy,0.00000000e+00
HANDI,9.97983019e-01
PSE,9.80892542e-01
gEDMD,0.00000000e+00
wSINDy,9.88158658e-01
SR3,4.98835668e-01
