Method,NPPI_Average
EDMD,1.64951352e-01
SINDy,4.86913913e-01
HANDI,9.93182995e-01
PSE,4.79465327e-01
gEDMD,0.00000000e+00
wSINDy,4.81524823e-01
SR3,4.97621522e-01
