Method,ACR_Count,Total_Trajectories,ACR_Percentage
SINDy,76,100,0.76
HANDI,91,100,0.91
PSE,38,100,0.38
gEDMD,79,100,0.79
wSINDy,92,100,0.92
SR3,78,100,0.78
